_link,id,tag,date,ocid,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_mainProcurementCategory,tender_awardCriteriaDetails,tender_description,tender_hasEnquiries,tender_eligibilityCriteria,tender_awardCriteria,tender_procurementMethod,tender_procurementMethodRationale,tender_numberOfTenderers,tender_value_amount,tender_value_currency,tender_minValue_amount,tender_minValue_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,planning_rationale,planning_budget_id,planning_budget_description,planning_budget_project,planning_budget_projectID,planning_budget_amount_amount,planning_budget_amount_currency,tender_awardPeriod_startDate,tender_awardPeriod_endDate
2893,ocds-rw2stw-KRM-9481/KRM/NCB/05/074-75-2018-04-15T00:00:00+05:45,compiled,2018-04-15T00:00:00+05:45,ocds-rw2stw-KRM-9481/KRM/NCB/05/074-75,tender,1ea8ea73990f905d100f524efca2e23a,Khandadevi Rural Municipality,KRM-9481/KRM/NCB/05/074-75,Construction of Prefab Office Buildings,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-05-15T12:00:00+05:45,2018-04-15T00:00:00+05:45,2018-05-05T12:00:00+05:45,2018-04-15T00:00:00+05:45,null,8015433,Government Budget,Construction of Prefab Office Buildings,9481,n/a,NPR,,
2894,ocds-rw2stw-KRMP-3745/KRMP/KLB/21/074-075-2017-12-01T00:00:00+05:45,compiled,2017-12-01T00:00:00+05:45,ocds-rw2stw-KRMP-3745/KRMP/KLB/21/074-075,tender,5cfae9c4ee54dc0a8453860d5688a507,Karnali River Management Project,KRMP-3745/KRMP/KLB/21/074-075,"Construction of Embankment, Spur and Sloping Revetment,Karnali River Management Project, Rajapur,Bardiya.",NCB,active,works,,,false,,,open,,12,0,NPR,0,NPR,2018-01-01T12:00:00+05:45,2017-12-01T00:00:00+05:45,2017-12-22T12:00:00+05:45,2017-12-01T00:00:00+05:45,null,357109,Government Budget,"Construction of Embankment, Spur and Sloping Revetment,Karnali River Management Project, Rajapur,Bardiya.",3745,n/a,NPR,2018-04-17T03:55:37+05:45,
2895,ocds-rw2stw-KRTP-4710/RCTMSK /Khando /LB /08 /074-075-2018-01-03T00:00:00+05:45,compiled,2018-01-03T00:00:00+05:45,ocds-rw2stw-KRTP-4710/RCTMSK /Khando /LB /08 /074-075,tender,35fc24f3f498c8fc6bdc6708e3c5d346,Khando River Training Project,KRTP-4710/RCTMSK /Khando /LB /08 /074-075,"Construction of Embankment ,Revetment and stud works",NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-02-01T12:00:00+05:45,2018-01-03T00:00:00+05:45,2018-01-22T12:00:00+05:45,2018-01-03T00:00:00+05:45,null,357109,Government Budget,"Construction of Embankment ,Revetment and stud works",4710,n/a,NPR,,
2896,ocds-rw2stw-KTMFTEWRP-10353/KTFT-NCB-Materials 2074/75-2-2018-05-07T10:30:00+05:45,compiled,2018-05-07T10:30:00+05:45,ocds-rw2stw-KTMFTEWRP-10353/KTFT-NCB-Materials 2074/75-2,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-10353/KTFT-NCB-Materials 2074/75-2,Construction Materials,NCB,active,goods,,,false,,,open,,2,0,NPR,0,NPR,2018-06-06T12:00:00+05:45,2018-05-07T10:30:00+05:45,2018-05-27T12:00:00+05:45,2018-05-07T10:30:00+05:45,null,29611,Government Budget,Construction Materials,10353,n/a,NPR,,
2897,ocds-rw2stw-KTMFTEWRP-11934/KTFT/NCB/074/75/22-2018-06-14T10:00:00+05:45,compiled,2018-06-14T10:00:00+05:45,ocds-rw2stw-KTMFTEWRP-11934/KTFT/NCB/074/75/22,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-11934/KTFT/NCB/074/75/22,Double Cab Pick Up,NCB,active,goods,,,false,,,open,,1,0,NPR,0,NPR,2018-06-29T12:00:00+05:45,2018-06-14T10:00:00+05:45,2018-06-19T12:00:00+05:45,2018-06-14T10:00:00+05:45,null,29611,Government Budget,Double Cab Pick Up,11934,n/a,NPR,,
2898,ocds-rw2stw-KRMSD-9713/KRMORME-2018-04-22T00:00:00+05:45,compiled,2018-04-22T00:00:00+05:45,ocds-rw2stw-KRMSD-9713/KRMORME,tender,c980fb4f1122673c8c2a9b36c5c49f1e,"Kaike Rural Municipality, Shahartara, Dolpa",KRMSD-9713/KRMORME,Supply of 20 Ton Catagory Excavator with Breaker - 1 unit,NCB,active,goods,,,false,,,open,,3,0,NPR,0,NPR,2018-05-07T12:00:00+05:45,2018-04-22T00:00:00+05:45,2018-04-27T12:00:00+05:45,2018-04-22T00:00:00+05:45,null,N/A,Government Budget,Supply of 20 Ton Catagory Excavator with Breaker - 1 unit,9713,n/a,NPR,,
2899,ocds-rw2stw-KTMFTEWRP-3519/KTFT/NCB/WORKS/ 2074/075-1      -2017-11-21T18:00:00+05:45,compiled,2017-11-21T18:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3519/KTFT/NCB/WORKS/ 2074/075-1      ,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3519/KTFT/NCB/WORKS/ 2074/075-1      ,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  1",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T18:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T18:00:00+05:45,null,29611,Government Budget,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  1",3519,n/a,NPR,,
2900,ocds-rw2stw-KRTP-4714/RCTMSK /Khando/ RB /10/ 074-075-2018-01-03T00:00:00+05:45,compiled,2018-01-03T00:00:00+05:45,ocds-rw2stw-KRTP-4714/RCTMSK /Khando/ RB /10/ 074-075,tender,35fc24f3f498c8fc6bdc6708e3c5d346,Khando River Training Project,KRTP-4714/RCTMSK /Khando/ RB /10/ 074-075,Construction of Launching and Revetment works.,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-02-01T12:00:00+05:45,2018-01-03T00:00:00+05:45,2018-01-22T12:00:00+05:45,2018-01-03T00:00:00+05:45,null,357109,Government Budget,Construction of Launching and Revetment works.,4714,n/a,NPR,,
2901,ocds-rw2stw-KRMSD-7178/ KRMORME/01/NCB/GOODS/2074/075-2018-02-28T00:00:00+05:45,compiled,2018-02-28T00:00:00+05:45,ocds-rw2stw-KRMSD-7178/ KRMORME/01/NCB/GOODS/2074/075,tender,c980fb4f1122673c8c2a9b36c5c49f1e,"Kaike Rural Municipality, Shahartara, Dolpa",KRMSD-7178/ KRMORME/01/NCB/GOODS/2074/075,Supply of Track Excavator With Breaker -1 Unit ,NCB,active,goods,,,false,,,open,,5,0,NPR,0,NPR,2018-03-30T12:00:00+05:45,2018-02-28T00:00:00+05:45,2018-03-20T12:00:00+05:45,2018-02-28T00:00:00+05:45,null,31122,Government Budget,Supply of Track Excavator With Breaker -1 Unit ,7178,n/a,NPR,,
2902,ocds-rw2stw-KTMFTEWRP-1593/KTFT/NCB/ 74/75/ 4-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1593/KTFT/NCB/ 74/75/ 4,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1593/KTFT/NCB/ 74/75/ 4,Construction of Barrack Buildings with furniture and accessories all complete,NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,Construction of Barrack Buildings with furniture and accessories all complete,1593,n/a,NPR,,
2903,ocds-rw2stw-KRTP-4996/RCTMSK /Khando /RB /07/074-075-2018-01-08T23:59:00+05:45,compiled,2018-01-08T23:59:00+05:45,ocds-rw2stw-KRTP-4996/RCTMSK /Khando /RB /07/074-075,tender,35fc24f3f498c8fc6bdc6708e3c5d346,Khando River Training Project,KRTP-4996/RCTMSK /Khando /RB /07/074-075,Construction of Embankment & Revetment etc. works,NCB,active,works,,,false,,,open,,14,0,NPR,0,NPR,2018-02-07T12:00:00+05:45,2018-01-08T23:59:00+05:45,2018-01-28T12:00:00+05:45,2018-01-08T23:59:00+05:45,null,357109,Government Budget,Construction of Embankment & Revetment etc. works,4996,n/a,NPR,2018-03-04T16:25:08+05:45,
2904,ocds-rw2stw-KTDCK-3485/KTDC/Kohalpur/NCB/074/075-03-2017-11-21T15:00:00+05:45,compiled,2017-11-21T15:00:00+05:45,ocds-rw2stw-KTDCK-3485/KTDC/Kohalpur/NCB/074/075-03,tender,4d23db5948e39e1b84bc214f03d64a5f,"Kohalpur Town Development Committee, Kohalpur",KTDCK-3485/KTDC/Kohalpur/NCB/074/075-03,"Construction of Drain and Graveling work on east, north and south side of Saraswati park roads and north side of Bheri cold store",NCB,active,works,,,false,,,open,,3,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T15:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T15:00:00+05:45,null,295011,Internal Resources,"Construction of Drain and Graveling work on east, north and south side of Saraswati park roads and north side of Bheri cold store",3485,n/a,NPR,,
2905,ocds-rw2stw-KTDCK-3486/KTDC/Kohalpur/NCB/074/075-04-2017-11-21T15:00:00+05:45,compiled,2017-11-21T15:00:00+05:45,ocds-rw2stw-KTDCK-3486/KTDC/Kohalpur/NCB/074/075-04,tender,4d23db5948e39e1b84bc214f03d64a5f,"Kohalpur Town Development Committee, Kohalpur",KTDCK-3486/KTDC/Kohalpur/NCB/074/075-04,Construction of Drain and Graveling work on 9 m. wide roads of different phase of KTDC,NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T15:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T15:00:00+05:45,null,295011,Internal Resources,Construction of Drain and Graveling work on 9 m. wide roads of different phase of KTDC,3486,n/a,NPR,,
2906,ocds-rw2stw-KRTP-103/04/2073-074-2017-01-27T14:00:00+05:45,compiled,2017-01-27T14:00:00+05:45,ocds-rw2stw-KRTP-103/04/2073-074,tender,587609eaacf9b3761a71da666cc66e76,Karnali River Training Project,KRTP-103/04/2073-074,"Construction of Embankment, Spurs/ Stud and Sloping Revetment",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-02-28T12:00:00+05:45,2017-01-27T14:00:00+05:45,2017-02-18T12:00:00+05:45,2017-01-27T14:00:00+05:45,null,357109,Government Budget,"Construction of Embankment, Spurs/ Stud and Sloping Revetment",103,n/a,NPR,,
2907,ocds-rw2stw-KTMFTEWRP-3255/Lease Equipment /074/75/5-2018-01-14T16:00:00+05:45,compiled,2018-01-14T16:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3255/Lease Equipment /074/75/5,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3255/Lease Equipment /074/75/5,Lease Equipment for Nijgadha,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-01-21T12:00:00+05:45,2018-01-14T16:00:00+05:45,2018-01-11T12:00:00+05:45,2018-01-14T16:00:00+05:45,null,29611,Government Budget,Lease Equipment for Nijgadha,3255,n/a,NPR,,
2908,ocds-rw2stw-KRTP-4711/RCTMSK /Khando/ RB /09/ 074-075-2018-01-03T00:00:00+05:45,compiled,2018-01-03T00:00:00+05:45,ocds-rw2stw-KRTP-4711/RCTMSK /Khando/ RB /09/ 074-075,tender,35fc24f3f498c8fc6bdc6708e3c5d346,Khando River Training Project,KRTP-4711/RCTMSK /Khando/ RB /09/ 074-075,Construction of Launching and Revetment works,NCB,active,works,,,false,,,open,,3,0,NPR,0,NPR,2018-02-01T12:00:00+05:45,2018-01-03T00:00:00+05:45,2018-01-22T12:00:00+05:45,2018-01-03T00:00:00+05:45,null,357109,Government Budget,Construction of Launching and Revetment works,4711,n/a,NPR,,
2909,ocds-rw2stw-KTMFTEWRP-11935/KTFT/NCB/074/75/23-2018-06-14T10:00:00+05:45,compiled,2018-06-14T10:00:00+05:45,ocds-rw2stw-KTMFTEWRP-11935/KTFT/NCB/074/75/23,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-11935/KTFT/NCB/074/75/23,Double Cab Pick Up,NCB,active,goods,,,false,,,open,,1,0,NPR,0,NPR,2018-06-29T12:00:00+05:45,2018-06-14T10:00:00+05:45,2018-06-19T12:00:00+05:45,2018-06-14T10:00:00+05:45,null,29611,Government Budget,Double Cab Pick Up,11935,n/a,NPR,,
2910,ocds-rw2stw-KRTP-4984/RCTMSK /Khando /RB /06 /074-075-2018-01-08T23:59:00+05:45,compiled,2018-01-08T23:59:00+05:45,ocds-rw2stw-KRTP-4984/RCTMSK /Khando /RB /06 /074-075,tender,35fc24f3f498c8fc6bdc6708e3c5d346,Khando River Training Project,KRTP-4984/RCTMSK /Khando /RB /06 /074-075,Construction of Embankment & Revetment etc. works.,NCB,active,works,,,false,,,open,,14,0,NPR,0,NPR,2018-02-07T12:00:00+05:45,2018-01-08T23:59:00+05:45,2018-01-28T12:00:00+05:45,2018-01-08T23:59:00+05:45,null,357109,Government Budget,Construction of Embankment & Revetment etc. works.,4984,n/a,NPR,2018-03-04T16:26:44+05:45,
2911,ocds-rw2stw-KTMFTEWRP-3251/Expressway-equipment 2074/75/ 2-2017-11-15T11:30:00+05:45,compiled,2017-11-15T11:30:00+05:45,ocds-rw2stw-KTMFTEWRP-3251/Expressway-equipment 2074/75/ 2,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3251/Expressway-equipment 2074/75/ 2,Lease Equipment for Sisneri,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-12-15T12:00:00+05:45,2017-11-15T11:30:00+05:45,2017-12-05T12:00:00+05:45,2017-11-15T11:30:00+05:45,null,29611,Government Budget,Lease Equipment for Sisneri,3251,n/a,NPR,,
2912,ocds-rw2stw-KTMFTEWRP-1585/KTFT/NCB/ 74/75/ 8-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1585/KTFT/NCB/ 74/75/ 8,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1585/KTFT/NCB/ 74/75/ 8,"Supply Drilling Rods, Drill Bits and accessories",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,"Supply Drilling Rods, Drill Bits and accessories",1585,n/a,NPR,,
2913,ocds-rw2stw-KTDCK-8603/074/075-3-2018-03-30T12:00:00+05:45,compiled,2018-03-30T12:00:00+05:45,ocds-rw2stw-KTDCK-8603/074/075-3,tender,4d23db5948e39e1b84bc214f03d64a5f,"Kohalpur Town Development Committee, Kohalpur",KTDCK-8603/074/075-3,Construction of Ticket Counter and Asphalt Concrete at Kohalpur Bus Park,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-30T12:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-30T12:00:00+05:45,null,295011,Internal Resources,Construction of Ticket Counter and Asphalt Concrete at Kohalpur Bus Park,8603,n/a,NPR,,
2914,ocds-rw2stw-KTMFTEWRP-3249/Lease Equipment /074/75/1-2018-01-11T06:00:00+05:45,compiled,2018-01-11T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3249/Lease Equipment /074/75/1,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3249/Lease Equipment /074/75/1,Lease Equipment for Makhubeshi,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-01-26T12:00:00+05:45,2018-01-11T06:00:00+05:45,2018-01-16T12:00:00+05:45,2018-01-11T06:00:00+05:45,null,29611,Government Budget,Lease Equipment for Makhubeshi,3249,n/a,NPR,,
2915,ocds-rw2stw-KTMFTEWRP-3252/Lease Equipment /074/75/3-2017-12-17T12:00:00+05:45,compiled,2017-12-17T12:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3252/Lease Equipment /074/75/3,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3252/Lease Equipment /074/75/3,Lease Equipment for Lendanda,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-01-01T12:00:00+05:45,2017-12-17T12:00:00+05:45,2017-12-22T12:00:00+05:45,2017-12-17T12:00:00+05:45,null,29611,Government Budget,Lease Equipment for Lendanda,3252,n/a,NPR,,
2916,ocds-rw2stw-KTDCK-10488/KTDC/Kohalpur/NCB/074/075-08-2018-05-09T17:00:00+05:45,compiled,2018-05-09T17:00:00+05:45,ocds-rw2stw-KTDCK-10488/KTDC/Kohalpur/NCB/074/075-08,tender,4d23db5948e39e1b84bc214f03d64a5f,"Kohalpur Town Development Committee, Kohalpur",KTDCK-10488/KTDC/Kohalpur/NCB/074/075-08,Construction of  drain  in different phase of  KTDC,NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2018-06-08T12:00:00+05:45,2018-05-09T17:00:00+05:45,2018-05-29T12:00:00+05:45,2018-05-09T17:00:00+05:45,null,295011,Internal Resources,Construction of  drain  in different phase of  KTDC,10488,n/a,NPR,,
2917,ocds-rw2stw-KTMFTEWRP-1586/KTFT/NCB/74/75/9.-2017-10-10T06:00:00+05:45,compiled,2017-10-10T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1586/KTFT/NCB/74/75/9.,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1586/KTFT/NCB/74/75/9.,Supply Double Cab Pick Up,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-10-25T12:00:00+05:45,2017-10-10T06:00:00+05:45,2017-10-15T12:00:00+05:45,2017-10-10T06:00:00+05:45,null,29611,Government Budget,Supply Double Cab Pick Up,1586,n/a,NPR,,
2918,ocds-rw2stw-KTMFTEWRP-3521/KTFT/NCB/WORKS/2074/075-2-2017-11-21T18:00:00+05:45,compiled,2017-11-21T18:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3521/KTFT/NCB/WORKS/2074/075-2,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3521/KTFT/NCB/WORKS/2074/075-2,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  2",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T18:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T18:00:00+05:45,null,29611,Government Budget,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  2",3521,n/a,NPR,,
2919,ocds-rw2stw-KTMFTEWRP-3526/KTFT/NCB/WORKS/2074/075-6-2017-11-21T18:00:00+05:45,compiled,2017-11-21T18:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3526/KTFT/NCB/WORKS/2074/075-6,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3526/KTFT/NCB/WORKS/2074/075-6,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  6",NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T18:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T18:00:00+05:45,null,29611,Government Budget,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  6",3526,n/a,NPR,,
2920,ocds-rw2stw-KTMFTEWRP-1594/KTFT/NCB/ 74/75/ 5-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1594/KTFT/NCB/ 74/75/ 5,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1594/KTFT/NCB/ 74/75/ 5,Construction of Barrack Buildings with furniture and accessories all complete,NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,Construction of Barrack Buildings with furniture and accessories all complete,1594,n/a,NPR,,
2921,ocds-rw2stw-KTMFTEWRP-3522/KTFT/NCB/WORKS/2074/075-3 -2017-11-21T18:00:00+05:45,compiled,2017-11-21T18:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3522/KTFT/NCB/WORKS/2074/075-3 ,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3522/KTFT/NCB/WORKS/2074/075-3 ,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  3",NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T18:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T18:00:00+05:45,null,29611,Government Budget,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  3",3522,n/a,NPR,,
2922,ocds-rw2stw-KTMFTEWRP-3531/KTFT/NCB/WORKS/2074/075-9-2017-11-21T18:00:00+05:45,compiled,2017-11-21T18:00:00+05:45,ocds-rw2stw-KTMFTEWRP-3531/KTFT/NCB/WORKS/2074/075-9,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-3531/KTFT/NCB/WORKS/2074/075-9,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  9",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T18:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T18:00:00+05:45,null,29611,Government Budget,"Road Way excavation, Road way embankment construction ,Cross Drainage Structure  9",3531,n/a,NPR,,
2923,ocds-rw2stw-KTMFTEWRP-1592/KTFT/NCB/ 74/75/ 3-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1592/KTFT/NCB/ 74/75/ 3,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1592/KTFT/NCB/ 74/75/ 3,Construction of Barrack Buildings with furniture and accessories all complete,NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,Construction of Barrack Buildings with furniture and accessories all complete,1592,n/a,NPR,,
2924,ocds-rw2stw-KTMFTEWRP-1591/KTFT/NCB/ 74/75/ 2-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1591/KTFT/NCB/ 74/75/ 2,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1591/KTFT/NCB/ 74/75/ 2,Construction of Barrack Buildings with furniture and accessories all complete,NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,Construction of Barrack Buildings with furniture and accessories all complete,1591,n/a,NPR,,
2925,ocds-rw2stw-KTMFTEWRP-4940/KTFT/NCB/WORKS/ 2074/075-14-2018-01-03T23:00:00+05:45,compiled,2018-01-03T23:00:00+05:45,ocds-rw2stw-KTMFTEWRP-4940/KTFT/NCB/WORKS/ 2074/075-14,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-4940/KTFT/NCB/WORKS/ 2074/075-14,"Road way Excavation, Road way embankment construction, Composite soil reinforcement system, Cross drainage structure and other structure's Construction 14",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2018-02-02T12:00:00+05:45,2018-01-03T23:00:00+05:45,2018-01-23T12:00:00+05:45,2018-01-03T23:00:00+05:45,null,29611,Government Budget,"Road way Excavation, Road way embankment construction, Composite soil reinforcement system, Cross drainage structure and other structure's Construction 14",4940,n/a,NPR,,
2926,ocds-rw2stw-KTMFTEWRP-1587/KTFT/NCB/74/75/10.-2017-10-10T06:00:00+05:45,compiled,2017-10-10T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1587/KTFT/NCB/74/75/10.,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1587/KTFT/NCB/74/75/10.,Supply of Ambulance,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-10-25T12:00:00+05:45,2017-10-10T06:00:00+05:45,2017-10-15T12:00:00+05:45,2017-10-10T06:00:00+05:45,null,29611,Government Budget,Supply of Ambulance,1587,n/a,NPR,,
2927,ocds-rw2stw-KTMFTEWRP-1581/KTFT/NCB/ 74/75/ 6-2017-08-27T06:00:00+05:45,compiled,2017-08-27T06:00:00+05:45,ocds-rw2stw-KTMFTEWRP-1581/KTFT/NCB/ 74/75/ 6,tender,35badd3049260bee4554a0d8f195025d,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,KTMFTEWRP-1581/KTFT/NCB/ 74/75/ 6,"Supply of  Engineering, Construction tools, Survey, Electronic Equipment and Safety Equipment",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-09-26T12:00:00+05:45,2017-08-27T06:00:00+05:45,2017-09-16T12:00:00+05:45,2017-08-27T06:00:00+05:45,null,29611,Government Budget,"Supply of  Engineering, Construction tools, Survey, Electronic Equipment and Safety Equipment",1581,n/a,NPR,,
2928,ocds-rw2stw-KTDCK-3518/KTDC/Kohalpur/NCB/074/075-02-2017-11-21T15:00:00+05:45,compiled,2017-11-21T15:00:00+05:45,ocds-rw2stw-KTDCK-3518/KTDC/Kohalpur/NCB/074/075-02,tender,4d23db5948e39e1b84bc214f03d64a5f,"Kohalpur Town Development Committee, Kohalpur",KTDCK-3518/KTDC/Kohalpur/NCB/074/075-02,Blacktop work on roads in 2nd and 4th phase of KTDC,NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2017-12-21T12:00:00+05:45,2017-11-21T15:00:00+05:45,2017-12-11T12:00:00+05:45,2017-11-21T15:00:00+05:45,null,295011,Internal Resources,Blacktop work on roads in 2nd and 4th phase of KTDC,3518,n/a,NPR,,
