कसै,स्थामीय तह,बिल्ता,लेखापरीक्षण रकम,,,सुरु मौज्यात,बैहुकाट,काट,,आन्तरिक बाय,बन्यआय,कुसबाय,चातुखर्ष,पुँजीगत खर्ष,मित्तिय बर्ष,कुल खर्ष,
२१,"महाभारत गाउँपालिका, काभ्रेपलाञोक",काभ्रेपलाञ्चोक,११३७१९०,,०,१८५२८१,३११५६२,८७९२,९७६५०,४६२,९९६४२,२७२२८९,२७१३८७,१६२५०८,१३१००६,२५६४९०१,१९२६६९
२२,"तेमाल गाउँपालिका, काभ्रेपलाञ्चोक",काभ्रेपाबोक,१३२४३२८,६५९३,०.४,४११६८,३२६३६५,४७६९७,७६९४७,१०३८०,१९३३७२,६५४७६१,२९८९५३,१५३३२५,२१७२८९,६६५९५६७,२६३६२
२३,"पाँचखाल नगरपालिका, काभ्रेपलाञ्चोक",काभ्रेपलाञ्चोक,१८६७६२३,१८३२,०.१,१४१४९०,४३४२२४,७७६०८,१७४५९४०,३७४५४,र२०७०२६,९३२२५३,४१९४१२,२३९०८२,२७६८७७,९३५३७१,१३८३७२
२४,,कागरपलाबीक,,€१३,,,,४३७५,रड,कक१६०९,,रप,,२२६६०९,९२६६,७४७७१६,२८६९
२५,"राप्ती नगरपालिका, चितवन",चितवन,२०१७८१६,२८७७०,१.४३,७४७६४,१३४९४७,४९५४०,२२१८७७,३२०११,२६२१३४,११००५१०,४९७६४२,१६४२९९,२४५५३६४५,९१७३०६,२५७९६७
२६,"इच्छाकामना गाउँपालिका, चितवन",चितवन,१४८०६३६,१५८९६,१.०७,४२३७०,४६०८३६,६३६१३,१४४२३५,४९१८०,१२२६२७,८४०४९१,३७३५९३,२९३७३७,१४८२११,५१५५४१,६७३२०
२७,"खैरहनी नगरपालिका, चितवन",चितवन,२६१५४८७,१३९६४,०.५३,१७०३७३,४६६८९६,१०८४९५,१७४५९९४,१८३६०७,३६०९५०,१२९४५९४२,४३७३४६,२२९५९६,३८३३५८०,१३५०३०१,११६०१४
२८,"कालिका नगरपालिका, चितवन",चितवन,१८४६३२३,११६२६,०.६३,९८५८०,३८८७७२,६५००८,२१००१५,२२६१५,२१४१२४,९३०५३४,४२८८६९,२८२३१६५,२०४६०३,९१५७८८,११३३२६
२९,"माडी नगरपालिका, चितवन",चितवन,२१३०१५३,३३४५,०.१६,३३७४१,४६७४२४,८१६९३,र२०६८७४,९८३६३,२३८२०५,१०९२५५९,२१७४२०,२५८५७९,२६१५९४,१०३७१९३,५८७०७
३०,"गाउँपालिका, दीलखा",शेलखा,१३०४६२२,शव,०३७,३७५६,३३४१६२।,४६४४९,९१०४,३६,१७३२०५,००४७,र२८४०७६,१६५४१२,९०७६,,१२८०
