PublicFinance,,,,,,,,,,,,,,,,,,,,
FiscalYear(BS),Total Revenue,Total Tax,Customs,Excise,Income Tax,VAT,Other Tax,Total  Non Tax,Total Expenditure,Recurrent Expenditure,Capital         Expenditure,Financing,Total Outstanding Debt,Outstanding Domestic Debt,Outstanding Foreign Debt,Domestic Borrowing (Yearly),Total Foreign Financing,Foreign Grant,Foreign Loan,Total Public Debt
2062/63,7228.19,5743.04,1534.4,650.76,959.88,2161.07,436.93,1485.15,11088.92,6701.78,2960.66,1426.48,32867.94,9471.08,23396.86,1183.42,2204.18,1382.75,821.43,
2061/62,7012.27,5410.47,1570.16,644.59,940.24,1888.54,366.94,1601.8,10256.04,6168.64,2734.07,1353.33,30720.61,8756.42,21964.19,893.81,2365.73,1439.12,926.61,
2060/61,6233.1,4817.3,1555.48,622.67,851.25,1447.89,340.01,1415.8,8944.26,5555.21,2309.56,1079.49,31891.3,8613.37,23277.93,560.78,1891.24,1128.34,762.9,
2059/60,5453.89,4089.6,1278.32,377.12,881.18,1345.97,207.01,1364.29,8400.61,5209.05,2235.61,955.95,30807.85,8464.53,22343.32,888,1588.55,1133.91,454.64,
2058/59,5044.66,3933.06,1265,380.7,843.6,1226.73,217.03,1111.6,8007.22,4886.39,2477.24,643.59,28016.93,6004.37,22012.56,800,1438.48,668.62,769.86,
2057/58,4889.38,3886.5,1255.21,377.12,865.01,1238.24,150.92,1002.88,7983.51,4583.73,2830.72,569.06,25590.76,5435.7,20155.06,700,1879.74,675.34,1204.4,
2056/57,4289.37,3315.21,1081.33,312.76,700.62,1025.97,194.53,974.16,6627.25,3557.91,2548.07,521.27,24036.08,4966.96,19069.12,550,1752.39,571.17,1181.22,
2055/56,3725.13,2875.29,951.77,295.32,585.07,876.59,166.54,849.84,5957.9,3194.42,2299.21,464.27,20787.26,3840.67,16946.59,471,1618.9,433.66,1185.24,
2054/55,3293.79,2593.98,850.22,288.58,468.59,802.06,184.53,699.81,5611.83,2717.44,2894.39,0,19709.89,3589.09,16120.8,340,1645.71,540.26,1105.45,
2053/54,3037.35,2442.43,830.91,229.81,396.9,816.29,168.52,594.92,5072.37,2418.11,2654.26,0,16632.87,3424.19,13208.68,300,1503.19,598.83,904.36,
2052/53,2789.31,2166.8,732.74,194.43,331.16,742.93,165.54,622.51,4654.24,2156.19,2498.05,0,16010.22,3205.78,12804.44,220,1428.9,482.51,946.39,
2051/52,2460.51,1966,701.81,165.73,271.18,685.71,141.57,494.51,3906,1926.5,1979.5,0,14363.21,3063.12,11300.09,190,1124.94,393.71,731.23,
2050/51,1958.09,1537.15,525.5,159.25,182.45,538.09,131.86,420.94,3359.7,1240.9,2118.8,0,12742.29,2545.61,10196.68,182,1155.72,239.36,916.36,
2049/50,1514.84,1166.25,394.5,145.28,112.48,400.77,113.22,348.59,3089.8,1148.4,1941.4,0,11065.57,2323.49,8742.08,162,923.56,327.39,596.17,
2048/49,1351.27,987.56,335.89,,85.55,328.36,96.33,363.71,2641.8,990.5,1651.3,0,9177.98,2085.59,7092.39,207.9,780.04,153.1,626.9,
2047/48,1072.95,817.63,304.43,,74.6,235.44,83.14,255.32,2355,757,1598,0,7417.84,1467.31,5950.53,455.3,599,163,436,
2046/47,931.28,728.39,268.49,,91.9,195.38,62.92,202.89,1966.9,667.2,1299.7,0,4968.88,1288.79,3680.09,215,642.71,179.88,462.83,
2045/46,778.07,628.72,228.99,87.77,86.11,169.89,55.96,149.35,1800.5,567.6,1232.9,0,4085.29,1163.6,2921.69,133,566.69,147.82,418.87,
2044/45,735.04,575.28,221.46,82.53,57.9,161.25,52.14,159.76,1410.5,467.7,942.8,0,2982.34,899.74,2082.6,113,507.85,198.42,309.43,
2043/44,597.34,437.17,150.51,67.86,43.75,136.3,38.75,160.17,1151.32,413.52,737.8,0,2236.21,719.02,1517.19,164.47,331.45,95.26,236.19,
2042/43,464.45,365.93,123.1,55.87,36.44,117.3,33.22,98.52,979.71,358.4,621.31,0,1636.18,603.16,1033.02,140.34,349.15,112.06,237.09,
2041/42,391.68,315.12,106.45,48.39,30.73,101.26,28.29,76.56,839.48,290.61,548.87,0,1354.03,433.71,920.32,179.99,267.64,92.34,175.3,
2040/41,340.93,273.7,82.59,43.22,29.09,90.75,28.05,67.23,743.73,227.35,516.38,0,919.92,287.81,632.11,157.68,254.75,87.66,167.09,
2039/40,284.66,242.61,76.09,36.58,24.01,82.51,23.42,42.05,697.92,199.71,498.21,0,661.76,190,471.76,100,207.59,109.01,98.58,
2038/39,267.95,221.13,82.51,30.57,18.97,67.87,21.21,46.82,536.13,163.44,372.69,0,462.16,144.38,317.78,50,172.32,99.33,72.99,
2037/38,241.92,203.57,81.58,24.22,14.4,60.4,22.97,38.35,409.23,136.12,273.11,0,395.41,150.28,245.13,25,156.22,86.89,69.33,
2036/37,189,153.88,60.8,21.52,11.12,44.32,16.12,35.12,347.07,116.21,230.86,0,320.24,139.51,180.73,18,134.05,80.56,53.49,
2035/36,181.17,147.68,62.67,19.26,10.3,39.73,15.72,33.49,302.05,104.17,197.88,0,254.55,122.46,132.09,20,98.98,59.93,39.05,
2034/35,158.21,124.39,45.88,16.44,13.68,30.62,17.77,33.82,267.49,86.69,180.6,0,198.61,101.38,97.23,24,84.84,46.66,38.18,
2033/34,132.29,110.01,38.62,16.61,13.33,24.73,16.72,22.28,233.04,83.21,149.83,0,137.2,74.26,62.94,30,55.69,39.25,16.44,
2032/33,111.36,90.86,35.85,13.21,8.72,18.19,14.89,20.5,191.33,67.45,123.88,0,108.2,60.48,47.72,20,50.56,35.97,14.59,
2031/32,100.84,84.17,32.85,11.97,4.7,20.67,13.98,16.6,151.37,54.65,96.72,0,82.25,47.64,34.61,10,38.7,28.28,10.4,
,123123,,,,,,,,,,,,,,,,,,,
