id,entity_name,fiscal_year,ward_number,ward_population,ward_total_budget,project_name,project_budget,project_expenditure,physical_progress,status,created_at,updated_at
38,Pokhara Metro,2082/83,33,7000,13000000.00,Bharat Pokhari Retaining Wall,2000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
39,Kathmandu Metro,2082/83,32,25200,115000000.00,Bagmati Corridor Bench Installation,2000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
40,Lalitpur Metro,2082/83,3,11600,65000000.00,Pulchowk Green Belt,1500000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
41,Bharatpur Metro,2078/79,15,15000,120000000.00,Gautam Buddha Cricket Stadium (Fencing),5000000.00,5000000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
42,Bharatpur Metro,2078/79,10,18000,85000000.00,Chaubiskothi Smart Traffic Light,3500000.00,3200000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
43,Pokhara Metro,2078/79,25,10500,22000000.00,Hemja Potato Pocket Area Irrigation,1500000.00,1500000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
44,Lalitpur Metro,2078/79,16,6000,35000000.00,Nagbahal Stone Spout Restoration,1200000.00,1200000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
45,Bharatpur Metro,2079/80,15,15200,125000000.00,Gautam Buddha Cricket Stadium (Pitch Soil),8000000.00,1000000.00,12.00,Stalled,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
46,Bharatpur Metro,2079/80,10,18200,90000000.00,City Hall Access Road Expansion,12000000.00,6000000.00,50.00,Ongoing,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
47,Pokhara Metro,2079/80,25,10600,25000000.00,Hemja Cold Storage Construction (Phase 1),8000000.00,7500000.00,90.00,Ongoing,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
48,Kathmandu Metro,2079/80,10,28000,100000000.00,Baneshwor Sewerage Management,4500000.00,4000000.00,85.00,Ongoing,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
49,Kathmandu Metro,2079/80,10,28000,100000000.00,Ratna Rajya School Computer Lab,1500000.00,1500000.00,100.00,Completed,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
50,Bharatpur Metro,2080/81,15,15500,130000000.00,Gautam Buddha Cricket Stadium (Stand A),25000000.00,5000000.00,20.00,Ongoing,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
51,Bharatpur Metro,2080/81,22,9500,45000000.00,Patihani River Embankment,6000000.00,5500000.00,95.00,Ongoing,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
52,Pokhara Metro,2080/81,25,10700,28000000.00,Hemja Cold Storage Construction (Final),6000000.00,6000000.00,100.00,Completed,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
53,Pokhara Metro,2080/81,5,12000,55000000.00,Malepatan Urban Health Post Upgrade,3500000.00,500000.00,15.00,Stalled,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
54,Lalitpur Metro,2080/81,16,6100,38000000.00,Paton Durbar Square Night Lighting,2500000.00,2500000.00,100.00,Completed,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
55,Bharatpur Metro,2081/82,15,15800,140000000.00,Gautam Buddha Cricket Stadium (Drainage),8000000.00,2000000.00,25.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
56,Bharatpur Metro,2081/82,1,11000,60000000.00,Narayani River Bank Park,15000000.00,12000000.00,80.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
57,Pokhara Metro,2081/82,25,10800,30000000.00,Hemja Farmers Market Shed,4000000.00,3500000.00,90.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
58,Pokhara Metro,2081/82,5,12200,58000000.00,Malepatan Agri-Road Blacktopping,7000000.00,6500000.00,95.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
59,Pokhara Metro,2081/82,5,12200,58000000.00,Dharmasthali Basic School Renovation,1200000.00,200000.00,10.00,Stalled,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
60,Kathmandu Metro,2081/82,10,28500,110000000.00,Devi Nagar Park Open Gym,2500000.00,2500000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
61,Kathmandu Metro,2081/82,10,28500,110000000.00,Mid-Baneshwor Footpath Maintenance,1800000.00,500000.00,30.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
62,Lalitpur Metro,2081/82,16,6200,40000000.00,Traditional Music Training Center,1500000.00,1500000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
63,Bharatpur Metro,2082/83,15,16000,150000000.00,Gautam Buddha Cricket Stadium (Lights),40000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
64,Bharatpur Metro,2082/83,29,5000,8000000.00,Kavilas Rural Road Upgrade,1500000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
65,Pokhara Metro,2082/83,25,10900,32000000.00,Suikhet River Bridge Repair,3000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
66,Pokhara Metro,2082/83,5,12400,60000000.00,Zero Km Traffic Island Greenery,800000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
67,Kathmandu Metro,2082/83,10,28800,115000000.00,Thapa Gaun Community Hall,5000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
68,Lalitpur Metro,2082/83,16,6300,42000000.00,Tourist Info Kiosk Construction,1000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
69,Bharatpur Metro,2082/83,1,11200,65000000.00,Narayani River Aarti Site,2500000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
70,Pokhara Metro,2082/83,33,7000,13000000.00,Tole Lane Solar Lights (Phase 2),1500000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
