"District","Contractor"
"Bhaktapur","Bhimeshwor Drilling Tatha Nirman Sewa Pvt. Ltd"
"Bhaktapur","Kharidhunga Nirman Sewa Pvt. Ltd."
"Bhaktapur","M/S RA  Chitra construction"
"Bhaktapur","Ohm Energy Nepal Private Limited"
"Bhaktapur","Putha Himal-Sapna J/V"
"Bhaktapur","Raju Pokhrel"
"Bhaktapur","Shree Kamalamai Samyukta Construction"
"Bhaktapur","Sichu Engineering Services P.Ltd"
"Bhaktapur","Wide Angle Nirman Sewa"
"Bhojpur","Aayusha Organization Pvt. Ltd."
"Bhojpur","Bidur Nirman Sewa Pvt. Ltd."
"Bhojpur","Bijaya Nirman Sewa"
"Bhojpur","Jalpa Devi Nirman Sewa"
"Bhojpur","Makalu Nirman Sewa"
"Bhojpur","Mansoon Nirman Sewa"
"Bhojpur","Nath Nirman Sewa"
"Bhojpur","Saptakoshi Construction"
"Chitwan","""Darshan Nirman Sewa"
"Chitwan","""J Square Nirman  Sewa Pvt.Ltd.,"
"Chitwan","""M/S Gorakhnath EngineeringConstruction Pvt.Ltd Bharatpur-02, Chitwan"""
"Chitwan","301857240"
"Chitwan","A.K’S CONSTRUCTION"
"Chitwan","Aashrit Nirman Sewa"
"Chitwan","Acute Nepal P Ltd."
"Chitwan","Adventure Construction Company Pvt. Ltd"
"Chitwan","Ak's Construction"
"Chitwan","Anam Construction"
"Chitwan","Anjal Nirman Sewa"
"Chitwan","Apollo Infra Pvt. Ltd."
"Chitwan","Apollo Infra pvt.ltd"
"Chitwan","Applo Infra Pvt Ltd."
"Chitwan","Applo Infra Pvt. Ltd."
"Chitwan","Arbindra Construction, Bharatpur-11,Chitwan"
"Chitwan","Arvana Construction Pvt. Ltd."
"Chitwan","Ashish /honest JV"
"Chitwan","Ashish Nirman Sewa"
"Chitwan","Ashish/ Honest J.V"
"Chitwan","BALAJI NIRMAN SEWA"
"Chitwan","Baladev Builders Pvt.Ltd."
"Chitwan","Bhumethan Nirman Sewa"
"Chitwan","Bhumi Nirman Sewa"
"Chitwan","Bikram Baba Construction"
"Chitwan","Bikram Baba Construction."
"Chitwan","Birat Builders and  Equipment"
"Chitwan","D & B Construction"
"Chitwan","D& B CONSTRUCTION"
"Chitwan","D&B Construction"
"Chitwan","D.And.S. Himalayan construction pvt.ltd"
"Chitwan","Daju Bhai Nirman Sewa"
"Chitwan","Darsan Nirman Sewa"
"Chitwan","Darshan Nirman  Sewa"
"Chitwan","Darshan Nirman Sewa"
"Chitwan","Divine Light Construction"
"Chitwan","Dreamline Construction Pvt.Ltd.Bharatpur-2 Chitwan"
"Chitwan","Dynamic-Narayanam-Shahil J.V."
"Chitwan","Easy Construction Pvt.Ltd."
"Chitwan","Elite-Adventure-Dhanthan J.V, Bharatpur-chitwan"
"Chitwan","F.T.P Nirman Sewa Pvt.Ltd"
"Chitwan","F.T.P. Nirman Sewa Pvt Ltd"
"Chitwan","GMR-DAJUBHAI JV"
"Chitwan","GMR-Dajubhai Joint Venture"
"Chitwan","Gautam Builders"
"Chitwan","Hari Om Construction"
"Chitwan","Jay Mata Di Sanitary Udhyog Pvt.Ltd."
"Chitwan","K.B.C. Builders Company Pvt.Ltd."
"Chitwan","Kashyap/Arvan J/V"
"Chitwan","Khemraj Nirman Sewa Pvt Ltd"
"Chitwan","Kusum and Construction"
"Chitwan","L & G Construction"
"Chitwan","Lohani - Lohani & Sons- Dajubhai J.V."
"Chitwan","M/S Apollo Infra Pvt. Ltd. Bharatpur Chitwan"
"Chitwan","M/S Apollo Infra Pvt.Ltd, Bharatpur-0 Chitwan."
"Chitwan","M/S Apollo Infra Pvt.Ltd. Bharatpur-9 Chitwan"
"Chitwan","M/S Aruna construction"
"Chitwan","M/S Birat Builders and Equipment, Bharatpur Chitwan"
"Chitwan","M/S Birat Builders and equipment , Bharatpur Chitwan"
"Chitwan","M/S Buddha Builders Bharatpur -07 Chitwan"
"Chitwan","M/S Buddha Builders, Bharatpur Chitwan"
"Chitwan","M/S Build Nepal Private Limited, Bharatpur 12 Chitwan"
"Chitwan","M/S Build Nepal Pvt. Ltd, Bharatpur Chitwan."
"Chitwan","M/S Build nepal Pvt. Ltd. Bharatpur-28, Chitwan."
"Chitwan","M/S Cosmic Nirman Sewa Pvt.Ltd. Chitwan."
"Chitwan","M/S D&B Constructon"
"Chitwan","M/S Dajubhai Nirman Sewa, Bharatpur-07 Chitwan."
"Chitwan","M/S Darsan Nirman Sewa, Bharatpur Chitwan"
"Chitwan","M/S Darshan Nirman Sewa,Bharatpur Chitwan"
"Chitwan","M/S Divine Light Construction"
"Chitwan","M/S Gautam Builders"
"Chitwan","M/S Gorakhnath Engineering construction pvt.ltd , Chitwan"
"Chitwan","M/S Gorakhnath Engineering, Bharatpur Chitwan"
"Chitwan","M/S Jimmal Builders Pvt. Ltd , Bharatpur 22 Chitwan."
"Chitwan","M/S Jimmal Builders Pvt.Ltd Bharatpur Chitwan"
"Chitwan","M/S Jimmal Builders Pvt.Ltd, Bharatpur-22 Chitwan."
"Chitwan","M/S L&G Construction Bharatpur Chitwan"
"Chitwan","M/S L&G Construction, Bharatpur 12 Chitwan"
"Chitwan","M/S Mahesh Construction, Bharatpur Chitwan"
"Chitwan","M/S Medi Sales Pharma, Bharatpur Chitwan"
"Chitwan","M/S New Subedi Cement Samagri Udhyog, Bharatpur-7  Chitwan."
"Chitwan","M/S Nicika Construction, Chitwan"
"Chitwan","M/S Om Satya Sai Construction Pvt.Ltd Bharatpur- Chitwan."
"Chitwan","M/S Pandey Construction, Rapti 7 Chitwan"
"Chitwan","M/S Pasupati Nirman Sewa Pvt.Ltd."
"Chitwan","M/S Pradip Nirman Sewa"
"Chitwan","M/S Pradip Nirman Sewa, Bhartpur -21 Chitwan."
"Chitwan","M/S Rivian Engineering Consultancy Suppliers & Construction Pvt.Ltd."
"Chitwan","M/S Rivian Engineering Consultancy Suppliers 7 Construction Pvt.Ltd."
"Chitwan","M/S Royal Builders Pvt.Ltd. Bharatpur 10 chitwan"
"Chitwan","M/S Royal Builders Pvt.Ltd.Bharatpur ,Chitwan."
"Chitwan","M/S Safe Design Developer Consult Pvt.Ltd Bharatpur-20 Chitwan"
"Chitwan","M/S Safe design Developer Consult Pvt.Ltd. Bharatpur Chitywan"
"Chitwan","M/S Saptagandaki Builders, Bharatpur Chitwan"
"Chitwan","M/S Saptagandaki Builders, Bharatpur-9 Chitwan."
"Chitwan","M/S Shivasthal Nirman Pvt Ltd"
"Chitwan","M/S Siddhababa Press Pvt.Ltd. Bharatpur Chitwan"
"Chitwan","M/S Sigma Construction Bharatpur 09 Chitwan"
"Chitwan","M/S Sigma Construction, Bharatpur Chitwan"
"Chitwan","M/S Surya Shree Construction."
"Chitwan","M/S Surya shree construction"
"Chitwan","M/S Suryakamal Construction Pvt.Ltd. Bharatpur-12 Chitwan."
"Chitwan","M/S Suryakamal Construction Pvt.Ltd. Chitwan"
"Chitwan","M/S Unique Nepal Hume Pipe Udhyog, Bharatpur-14 Chitwan."
"Chitwan","Mahaakali Construction"
"Chitwan","Mahakali Devi Construction Company Pvt. Ltd."
"Chitwan","Narayani Pipe Industries"
"Chitwan","Neupane Builders,Bharatpur Chitwan"
"Chitwan","New SB Construction"
"Chitwan","New chitwan hume pipe udyog pvt.ltd.,Bharatpur-4"
"Chitwan","Om Satya Sai Construction (P).Ltd."
"Chitwan","Om Satya Sai Construction Pvt. Ltd."
"Chitwan","Omsatya Sai-Highway JV"
"Chitwan","P.K.-Bhagyalaxmi J/V"
"Chitwan","Pandey Construction"
"Chitwan","Pashupati Nirman Sewa Pvt. Ltd."
"Chitwan","Perisha Construction and Supplier Pvt Ltd"
"Chitwan","Pradip Nirman Sewa"
"Chitwan","Prasamsha Construction"
"Chitwan","R.S. Nirman Sewa"
"Chitwan","Rolpa Swochhanda Nirman Sewa pvt.ltd."
"Chitwan","S B Construction,Bharatpur chitwan"
"Chitwan","S.B.M. Engineering Associates Pvt. Ltd."
"Chitwan","SCIENTIFIC MEDICAL TECHNOLOGY (P.) LTD."
"Chitwan","SP Group of Engineering & Associates Pvt. Ltd."
"Chitwan","Safe Design Developer Consult Pvt.Ltd"
"Chitwan","Sahisa Nirman Sewa Pvt. Ltd."
"Chitwan","Samata Construction"
"Chitwan","Sanjivani Order  Suppliers"
"Chitwan","Sanjivani Order Suppliers"
"Chitwan","Sanjivani Order Suppliers,"
"Chitwan","Shivashakti-Om Sattya sai Jv"
"Chitwan","Shivasthal Nirman Pvt Ltd"
"Chitwan","Shiwa Shankar Builders & Suppliers Pvt. Ltd."
"Chitwan","Shree  Krishna Nirman  Sewa"
"Chitwan","Shree Ganesh Suppliers"
"Chitwan","Shree krishna Nirman Sewa"
"Chitwan","Siddhababa Press Pvt.Ltd.Bharatpur-9"
"Chitwan","Siddhartha Nirman Sewa"
"Chitwan","Siddhartha Nirman Sewa,Bharatpur-12"
"Chitwan","Siddhartha – Shivam JV"
"Chitwan","Su-Shanta Ayurvedic Ausadhalaya"
"Chitwan","Surya Shree Construction"
"Chitwan","YUDDHA NIRMAN SEWA"
"Chitwan","m/s pradip nirman sewa chitwan"
"Chitwan","sanjivani Order Suppliers Bharatpur-12, Chitwan"
"Chitwan","shivastal niram pvt. ltd."
"Chitwan","shivastal niram pvt. ltd.,"
"Dadeldhura","Ashu Nirman Sewa"
"Dadeldhura","RAJENDRA NIRMAN SEWA"
"Dadeldhura","SK Construction Dadeldhura"
"Dailekh","Bhairabmast Nirman Sewa"
"Dang","Abhishek Nirman Sewa"
"Dang","Abhishek and Aabhas Multipurpose Pvt.Ltd"
"Dang","Akarsh Nirman Sewa"
"Dang","Amit Nirman Sewa"
"Dang","Ankit & Jenisha-Bhairav JV"
"Dang","B Thee Builders"
"Dang","B three Builders PVT. LTD"
"Dang","Balarupi-Lokmani J/V"
"Dang","D.C Builders"
"Dang","Efficient Construction And Suppliers Private Limited"
"Dang","Efficient Construction and Suppliers Pvt.Ltd"
"Dang","Ganga Nirman Sewa"
"Dang","Gupteshor Nirman Sewa"
"Dang","Hamal Bijeshwori Construction"
"Dang","Jaya Construction"
"Dang","Jaya MA Swargadwari Nirman Sewa Pvt.Ltd"
"Dang","Kashayap Nirman Sewa"
"Dang","Khadka Nirman Sewa"
"Dang","Kusal Nirman  Sewa"
"Dang","Kushal Nirman sewa"
"Dang","Kushal and Sahil Construction Company Pvt.Ltd."
"Dang","M.K. Builders"
"Dang","M/s KRK Construction"
"Dang","MK Builders"
"Dang","MRKC Construction"
"Dang","Nabjanukadevi-Sharada JV"
"Dang","Navaraj Nirman Sewa"
"Dang","Nima Devi Nirman Sewa"
"Dang","Oasis Construction"
"Dang","Om and Yam Construction pvt.ltd"
"Dang","Partima Nirman Sewa"
"Dang","Pratima Nirman Sewa"
"Dang","Ram Krishna Nirman Sewa"
"Dang","Rapti Builders"
"Dang","Samriddhi Construction Pvt.Ltd."
"Dang","Shandar-Ankit & Jenisha JV"
"Dang","Sharma-garba Rumba JV"
"Dang","Shree Gadhimai Nirman Sewa"
"Dang","Shubha Construction"
"Dang","Sukkrik Nirman Sewa"
"Dang","Suraj Nirman Sewa"
"Dang","Suwakoti Construction"
"Dang","Swarnapuri Construction"
"Dang","Thani Himshikhar B Lama JV"
"Dang","U & Y Builders Pvt.Ltd"
"Dang","Ujjwal Nirman Sewa"
"Dang","Yagya Nirman Sewa"
"Dang","sangrila construction suppliers and engineering consultancy Pvt.Ltd"
"Dang","sudat sunawar"
"Darchula","B M R Construction Company Pvt. Ltd."
"Darchula","Singh Nirman Sewa"
"Dhading","Divya Jyoti Construction"
"Dhading","Jaleshwor Nirman Sewa"
"Dhading","Nana Construction"
"Dhading","OS Engineering Nirman Sewa Pvt. Ltd"
"Dhading","P.R./ Nana JV"
"Dhankuta","Kashyap Nirman Sewa"
"Dhanusha","Aksis Asean constration Company pvt.ltd."
"Dhanusha","Angle Construction and Suppliers"
"Dhanusha","M/S Dev & Sayar – Sugam JV"
"Dhanusha","M/S Dev Sayar-Sugam JV"
"Dhanusha","Roshan Construction Pvt.Ltd."
"Dhanusha","Shakti/ Set Square JV"
"Dhanusha","Sushant Construction"
"Dolakha","Gorkha-Dawa-Rujan JV"
"Dolakha","Santa-Jay Hanuman J/V"
"Doti","Durga Construction and Supplyer"
"Doti","Fencing of GI Barbed Wire with Concrete Post at Banlek Substation of West Seti Corridor 400kV Dobule Curcit Transmission Line Project"
"Gorkha","Adhikari-Mukul J.V."
"Gorkha","Adhikari/PS JV"
"Gorkha","Amrit Construction"
"Gorkha","Bhimeshwor/Manasalu/A-one JV"
"Gorkha","Bhimeshwor/Manasalu/Sachet JV"
"Gorkha","Janak Nirman Sewa, Gorkha -07"
"Gorkha","K.C.builders and suppliers pvt.ltd"
"Gorkha","KC Builders & Suppliers"
"Gorkha","Kribind Nirman Sewa, Gorkha"
"Gorkha","Laxmi Construction"
"Gorkha","Laxmi Construction Haramtari,Gorkha"
"Gorkha","Parajuli/ Manasalu/A-one JV"
"Gorkha","Shree Ram Nirman Sewa"
"Gorkha","Shuvam Nirman Sewa"
"Gorkha","Shuvam Nirman Sewa,Satipipa-05, Gorkha"
"Gorkha","Sport  World  Construction Pvt.Ltd,Gorkha"
"Gorkha","laxmi Construction"
"Gulmi","Gairipipal-Dharampani-Garve Motoable Road Upgrading works, Chhatradev-4, Kerunga"
"Gulmi","Gautam Nirman Sewa"
"Gulmi","Jog Ma Builders"
"Gulmi","M/S Bansuri Nirman Sewa"
"Gulmi","M/S Sunil Samir- Kusheshwor J.V."
"Gulmi","Santosh Khanal"
"Gulmi","Shrestha Construction Sewa"
"Gulmi","Sunil Samir Nirman Sewa Pvt. Ltd."
"Gulmi","Sunil Samir Nirman Sewa Pvt. Ltd., Gulmi"
"Gulmi","Western Popular Construction Pvt. Ltd."
"Humla","Kangri Nirman Sewa"
"Humla","Kangri Nirman Sewa Pvt Ltd"
"Humla","M/s De Dewani Construction Pvt.Ltd"
"Ilam","Babari Nirman Sewa"
"Ilam","Bhagawati Nirman Sewa"
"Ilam","Biruwa-Bhagawati J.V"
"Ilam","Helina Nirman Sewa"
"Ilam","Kanchanjunga Nirman Sewa"
"Ilam","Khanal Construction Pvt. Ltd."
"Ilam","Khanal construction Pvt.ltd."
"Ilam","M/S Shankar Trishakti Nirman Sewa Pvt.Ltd."
"Ilam","Mai Bhagawati- Devi Dada J.V,"
"Ilam","S.A.S-Thewe-Devidanda J.V"
"Ilam","S.A.S/Devidada J/V"
"Ilam","Siddhithumka Nirman Sewa Pvt. Ltd"
"Ilam","sewalung-kirat j.v"
"India","Kalpataru Power Transmission Linited"
"Jajarkot","P.S. Construction Sewa"
"Jajarkot","PS/Babiro JV"
"Jhapa","Achyut Construction and Suppliers Pvt. Ltd"
"Jhapa","Bimal Khatiwada"
"Jhapa","Garima Nirman Sewa"
"Jhapa","Gayatri Projects Limited, India in Joint Venture with Kankai International Builders Pvt. Ltd. (GPL-KIBPL JV)"
"Jhapa","Kerung Nirman Sewa"
"Jhapa","Kumar Prasad Uprety"
"Jhapa","L.P.S-Samata-Raj Builders J/V"
"Jhapa","Mangsuwa Nirman Sewa"
"Jhapa","P. and G. Construction"
"Jhapa","Purwanchal Construction Pvt. Ltd"
"Jhapa","Rautaha-Ashishdeep J/V"
"Jhapa","S.B Nirman Sewa"
"Kailali","Aadarsh Construction Dhangadhi, Kailali"
"Kailali","Aashraya-Prasansha-Dunila JV"
"Kailali","Ammikshya Construction"
"Kailali","B. and P. construction, Kailali"
"Kailali","Better life construction"
"Kailali","Bhandari Bros Construction, Lamkichuha-1 Kailali"
"Kailali","Bhatta Shiv Nirman Sewa"
"Kailali","Bishnu Nirman Sewa"
"Kailali","CAB-Dunila J.V."
"Kailali","Devi Raman-Tej-Manilek Joint Venture"
"Kailali","EVEREST CONSTRUCTION"
"Kailali","G & J NIRMAN SEWA"
"Kailali","G & J Nirman Sewa/ Hida construction JV"
"Kailali","G AND J NIRMAN SEWA"
"Kailali","Gyanendra  Bam"
"Kailali","Hathiya baba Nirman sewa"
"Kailali","Hathiyababa Nirman Sewa"
"Kailali","Hathiyababa Nirman Sewa Pvt. Ltd."
"Kailali","Hathiyababa nirman sewa pvt. ltd."
"Kailali","J B NIRMAN SEWA"
"Kailali","JAYANTI CONSTRUCTION"
"Kailali","JSBR Construction"
"Kailali","Jagannath Nirman Sewa"
"Kailali","Jayalaxmi Mahima JV"
"Kailali","K D N Nirman Company Pvt Ltd"
"Kailali","K.S. Construction Pvt. Ltd., Dhangadhi-2, Kailali"
"Kailali","KADEL SUPER CONSTRUCTION"
"Kailali","Khampache-Chandrodaya JV"
"Kailali","Khampache-Chandrodaya Jv"
"Kailali","M.P.-Sunlight Construction JV"
"Kailali","M.P.-Thegim-Sunlight JV"
"Kailali","M/S Brahmashakti Ayurved Pharma , Dhangadi-03 Kailali"
"Kailali","Malika -Sanidev- J.B. J.V."
"Kailali","Mohan construction and concern,"
"Kailali","NEW KUMARI CONSTRUCTION"
"Kailali","Nawayuga Construction Pvt.Ltd"
"Kailali","Nirajan Construction"
"Kailali","PRASHANSHA-SHIBLING JV"
"Kailali","Rajan Nirman Sewa"
"Kailali","Rajendra-Dunila J/V"
"Kailali","Rajendra-Rudrawati-Siddhanath JV"
"Kailali","Raymajhi-K.D.N-Nirajan JV"
"Kailali","Raymajhi-K.D.N.-Nirajan JV"
"Kailali","SKY-K.D.N.-Rajan JV"
"Kailali","Seto Bagh Builders"
"Kailali","Seto bagh Builders"
"Kailali","Shanidev-KDN-Singh JV"
"Kailali","Shreepur Developers Group Pvt. Ltd."
"Kailali","Shubha laxmi Builder's"
"Kailali","Shubham Developers and Suppliers Pvt.Ltd."
"Kailali","Shyam sundar-Saud jv"
"Kailali","T.D.R. Construction Pvt. Ltd."
"Kailali","Tedi Nirman Sewa, Pvt. Ltd"
"Kailali","Trishakti construction"
"Kailali","Unity Construction & Drilling Company Pvt. Ltd."
"Kailali","Yamuna Nirman Sewa"
"Kalikot","Bir Bhakti Nirman Sewa"
"Kalikot","Ganesh Nirman Sewa"
"Kanchanpur","Daut Nirman Sewa"
"Kanchanpur","Girspa Construction"
"Kanchanpur","Jagadamba-Rakhi JV"
"Kanchanpur","Malika Nirman Sewa Pvt. Ltd"
"Kanchanpur","Mitra Builders Pvt. Ltd."
"Kanchanpur","New Hunainath Nirman Sewa"
"Kanchanpur","Pankaj Construction"
"Kanchanpur","Rithgade-Sharmila JV"
"Kanchanpur","Royal-Amrit JV"
"Kapilvastu","Aakriti Construction"
"Kapilvastu","Ajeet Nirman Sewa"
"Kapilvastu","Aryal Nirman Sewa"
"Kapilvastu","Awadh Engineering and Construction Services"
"Kapilvastu","Barsha Nirman Sewa"
"Kapilvastu","Bindabasini Nirman Seawa"
"Kapilvastu","Bindabasini Nirman Sewa"
"Kapilvastu","Bishwakarma Nirman Sewa"
"Kapilvastu","Durga Construction"
"Kapilvastu","Irfan Construction pvt.Ltd"
"Kapilvastu","Jay Nirman Sewa"
"Kapilvastu","KC Nirman sewa"
"Kapilvastu","Kapilvastu Khan Construction"
"Kapilvastu","Kc Nirman Sewa"
"Kapilvastu","M/S Ganga Nirman Sewa"
"Kapilvastu","M/S Kabir Marmat Tatha Nirman Sewa Pvt. Ltd."
"Kapilvastu","M/s Aanshu-KC JV"
"Kapilvastu","M/s Aryal Nirman Sewa"
"Kapilvastu","M/s NarayenNirmanSewa"
"Kapilvastu","M/s TapeshwariNirmanSewa"
"Kapilvastu","Margha Darsan Construction &Consultancy Pvt.Ltd"
"Kapilvastu","Margha Darsan Construction&Consultancy Pvt.Ltd"
"Kapilvastu","Merit Construction Pvt.Ltd"
"Kapilvastu","New Banganga Nirman Sewa"
"Kapilvastu","Pravin Nirman Sewa"
"Kapilvastu","Prem Nirman sewa"
"Kapilvastu","Rajan Construction"
"Kapilvastu","Rameshwaram Construction Pvt.Ltd."
"Kapilvastu","Roshni Nirman Sewa"
"Kapilvastu","Royal Construction Service"
"Kapilvastu","Rudra Builders & Construction"
"Kapilvastu","SHREE RAM NIRMAN SEWA"
"Kapilvastu","Saptarishi Nirman Sewa"
"Kapilvastu","Shree Krishna Construction"
"Kapilvastu","Shree Mukthinath Nirman Sewa"
"Kapilvastu","Shree Muktinath Nirman Sewa"
"Kapilvastu","Shyam and Sons Nirman Sewa"
"Kapilvastu","Soniya Construction"
"Kapilvastu","Sujal Construction"
"Kapilvastu","Sujal construction"
"Kapilvastu","Tapeswori Nirman Sewa"
"Kapilvastu","Tiwari Nirman Sewa"
"Kapilvastu","Usha Nirman Sewa"
"Kapilvastu","resungaconstruction"
"Kaski","Fewa Construction"
"Kaski","Jyoti Nirman Sewa"
"Kaski","M/S Praman/Saras JV"
"Kaski","M/s Tribeni Nirman Sewa"
"Kaski","Naba Nirman Construction and Builders"
"Kathmandu","A.M.-K.S.K.-Parbatiya J/V"
"Kathmandu","A.R.K Construction and Suppliers, Kathmandu-31, Sankhamul Marg"
