fiscal_year,source_level,target_level,target_name,grant_type,amount
2078/79,Federal,Local,Bharatpur Metropolitan City,Equalization,2620000000.0
2078/79,Federal,Local,Bharatpur Metropolitan City,Conditional,471000000.0
2078/79,Federal,Local,Bharatpur Metropolitan City,Special,216000000.0
2078/79,Federal,Local,Bharatpur Metropolitan City,Complementary,119000000.0
2078/79,Federal,Local,Biratnagar Metropolitan City,Equalization,1499000000.0
2078/79,Federal,Local,Biratnagar Metropolitan City,Conditional,523000000.0
2078/79,Federal,Local,Biratnagar Metropolitan City,Special,174000000.0
2078/79,Federal,Local,Biratnagar Metropolitan City,Complementary,418000000.0
2078/79,Federal,Local,Butwal Sub Metropolitan City,Equalization,1420000000.0
2078/79,Federal,Local,Butwal Sub Metropolitan City,Conditional,1732000000.0
2078/79,Federal,Local,Butwal Sub Metropolitan City,Special,83000000.0
2078/79,Federal,Local,Butwal Sub Metropolitan City,Complementary,456000000.0
2078/79,Federal,Local,Hetauda Sub Metropolitan City,Equalization,1868000000.0
2078/79,Federal,Local,Hetauda Sub Metropolitan City,Conditional,469000000.0
2078/79,Federal,Local,Hetauda Sub Metropolitan City,Special,327000000.0
2078/79,Federal,Local,Hetauda Sub Metropolitan City,Complementary,259000000.0
2078/79,Federal,Local,Ghorahi Sub Metropolitan City,Equalization,1808000000.0
2078/79,Federal,Local,Ghorahi Sub Metropolitan City,Conditional,1914000000.0
2078/79,Federal,Local,Ghorahi Sub Metropolitan City,Special,172000000.0
2078/79,Federal,Local,Ghorahi Sub Metropolitan City,Complementary,380000000.0
2078/79,Federal,Local,Tansen Municipality,Equalization,1773000000.0
2078/79,Federal,Local,Tansen Municipality,Conditional,679000000.0
2078/79,Federal,Local,Tansen Municipality,Special,331000000.0
2078/79,Federal,Local,Tansen Municipality,Complementary,370000000.0
2078/79,Federal,Local,Dhangadhi Sub Metropolitan City,Equalization,1543000000.0
2078/79,Federal,Local,Dhangadhi Sub Metropolitan City,Conditional,1238000000.0
2078/79,Federal,Local,Dhangadhi Sub Metropolitan City,Special,114000000.0
2078/79,Federal,Local,Dhangadhi Sub Metropolitan City,Complementary,192000000.0
2078/79,Federal,Local,Dharan Sub Metropolitan City,Equalization,1805000000.0
2078/79,Federal,Local,Dharan Sub Metropolitan City,Conditional,1307000000.0
2078/79,Federal,Local,Dharan Sub Metropolitan City,Special,178000000.0
2078/79,Federal,Local,Dharan Sub Metropolitan City,Complementary,550000000.0
2078/79,Federal,Local,Shuklagandaki Municipality,Equalization,1948000000.0
2078/79,Federal,Local,Shuklagandaki Municipality,Conditional,356000000.0
2078/79,Federal,Local,Shuklagandaki Municipality,Special,327000000.0
2078/79,Federal,Local,Shuklagandaki Municipality,Complementary,317000000.0
2078/79,Federal,Local,Bhaktapur Municipality,Equalization,2590000000.0
2078/79,Federal,Local,Bhaktapur Municipality,Conditional,1217000000.0
2078/79,Federal,Local,Bhaktapur Municipality,Special,189000000.0
2078/79,Federal,Local,Bhaktapur Municipality,Complementary,328000000.0
2078/79,Federal,Local,Waling Municipality,Equalization,1437000000.0
2078/79,Federal,Local,Waling Municipality,Conditional,1195000000.0
2078/79,Federal,Local,Waling Municipality,Special,310000000.0
2078/79,Federal,Local,Waling Municipality,Complementary,151000000.0
2078/79,Federal,Local,Annapurna Rural Municipality,Equalization,1331000000.0
2078/79,Federal,Local,Annapurna Rural Municipality,Conditional,366000000.0
2078/79,Federal,Local,Annapurna Rural Municipality,Special,212000000.0
2078/79,Federal,Local,Annapurna Rural Municipality,Complementary,192000000.0
2078/79,Federal,Local,Machhapuchhre Rural Municipality,Equalization,2795000000.0
2078/79,Federal,Local,Machhapuchhre Rural Municipality,Conditional,1992000000.0
2078/79,Federal,Local,Machhapuchhre Rural Municipality,Special,110000000.0
2078/79,Federal,Local,Machhapuchhre Rural Municipality,Complementary,447000000.0
2078/79,Federal,Local,Madi Rural Municipality,Equalization,2133000000.0
2078/79,Federal,Local,Madi Rural Municipality,Conditional,411000000.0
2078/79,Federal,Local,Madi Rural Municipality,Special,391000000.0
2078/79,Federal,Local,Madi Rural Municipality,Complementary,269000000.0
2079/80,Federal,Province,Koshi Province,Equalization,9000000000.0
2079/80,Federal,Province,Koshi Province,Conditional,7000000000.0
2079/80,Federal,Province,Koshi Province,Special,5000000000.0
2079/80,Federal,Province,Koshi Province,Complementary,4000000000.0
2079/80,Federal,Province,Madhesh Province,Equalization,14000000000.0
2079/80,Federal,Province,Madhesh Province,Conditional,6000000000.0
2079/80,Federal,Province,Madhesh Province,Special,7000000000.0
2079/80,Federal,Province,Madhesh Province,Complementary,2000000000.0
2079/80,Federal,Province,Bagmati Province,Equalization,8000000000.0
2079/80,Federal,Province,Bagmati Province,Conditional,6000000000.0
2079/80,Federal,Province,Bagmati Province,Special,4000000000.0
2079/80,Federal,Province,Bagmati Province,Complementary,2000000000.0
2079/80,Federal,Province,Gandaki Province,Equalization,11000000000.0
2079/80,Federal,Province,Gandaki Province,Conditional,7000000000.0
2079/80,Federal,Province,Gandaki Province,Special,3000000000.0
2079/80,Federal,Province,Gandaki Province,Complementary,4000000000.0
2079/80,Federal,Province,Lumbini Province,Equalization,11000000000.0
2079/80,Federal,Province,Lumbini Province,Conditional,10000000000.0
2079/80,Federal,Province,Lumbini Province,Special,3000000000.0
2079/80,Federal,Province,Lumbini Province,Complementary,1000000000.0
2079/80,Federal,Province,Karnali Province,Equalization,7000000000.0
2079/80,Federal,Province,Karnali Province,Conditional,6000000000.0
2079/80,Federal,Province,Karnali Province,Special,6000000000.0
2079/80,Federal,Province,Karnali Province,Complementary,2000000000.0
2079/80,Federal,Province,Sudurpashchim Province,Equalization,7000000000.0
2079/80,Federal,Province,Sudurpashchim Province,Conditional,6000000000.0
2079/80,Federal,Province,Sudurpashchim Province,Special,2000000000.0
2079/80,Federal,Province,Sudurpashchim Province,Complementary,4000000000.0
2079/80,Federal,Local,Kathmandu Metropolitan City,Equalization,2966000000.0
2079/80,Federal,Local,Kathmandu Metropolitan City,Conditional,1009000000.0
2079/80,Federal,Local,Kathmandu Metropolitan City,Special,176000000.0
2079/80,Federal,Local,Kathmandu Metropolitan City,Complementary,585000000.0
2079/80,Federal,Local,Lalitpur Metropolitan City,Equalization,1737000000.0
2079/80,Federal,Local,Lalitpur Metropolitan City,Conditional,1948000000.0
2079/80,Federal,Local,Lalitpur Metropolitan City,Special,151000000.0
2079/80,Federal,Local,Lalitpur Metropolitan City,Complementary,195000000.0
2079/80,Federal,Local,Pokhara Metropolitan City,Equalization,2465000000.0
2079/80,Federal,Local,Pokhara Metropolitan City,Conditional,1992000000.0
2079/80,Federal,Local,Pokhara Metropolitan City,Special,326000000.0
2079/80,Federal,Local,Pokhara Metropolitan City,Complementary,503000000.0
2079/80,Federal,Local,Bharatpur Metropolitan City,Equalization,2517000000.0
2079/80,Federal,Local,Bharatpur Metropolitan City,Conditional,1986000000.0
2079/80,Federal,Local,Bharatpur Metropolitan City,Special,326000000.0
2079/80,Federal,Local,Bharatpur Metropolitan City,Complementary,564000000.0
2079/80,Federal,Local,Biratnagar Metropolitan City,Equalization,1280000000.0
2079/80,Federal,Local,Biratnagar Metropolitan City,Conditional,375000000.0
2079/80,Federal,Local,Biratnagar Metropolitan City,Special,203000000.0
2079/80,Federal,Local,Biratnagar Metropolitan City,Complementary,136000000.0
2079/80,Federal,Local,Butwal Sub Metropolitan City,Equalization,2399000000.0
2079/80,Federal,Local,Butwal Sub Metropolitan City,Conditional,742000000.0
2079/80,Federal,Local,Butwal Sub Metropolitan City,Special,241000000.0
2079/80,Federal,Local,Butwal Sub Metropolitan City,Complementary,232000000.0
2079/80,Federal,Local,Hetauda Sub Metropolitan City,Equalization,1548000000.0
2079/80,Federal,Local,Hetauda Sub Metropolitan City,Conditional,693000000.0
2079/80,Federal,Local,Hetauda Sub Metropolitan City,Special,374000000.0
2079/80,Federal,Local,Hetauda Sub Metropolitan City,Complementary,413000000.0
2079/80,Federal,Local,Ghorahi Sub Metropolitan City,Equalization,2618000000.0
2079/80,Federal,Local,Ghorahi Sub Metropolitan City,Conditional,1839000000.0
2079/80,Federal,Local,Ghorahi Sub Metropolitan City,Special,380000000.0
2079/80,Federal,Local,Ghorahi Sub Metropolitan City,Complementary,245000000.0
2079/80,Federal,Local,Tansen Municipality,Equalization,1014000000.0
2079/80,Federal,Local,Tansen Municipality,Conditional,1049000000.0
2079/80,Federal,Local,Tansen Municipality,Special,160000000.0
2079/80,Federal,Local,Tansen Municipality,Complementary,380000000.0
2079/80,Federal,Local,Dhangadhi Sub Metropolitan City,Equalization,2306000000.0
2079/80,Federal,Local,Dhangadhi Sub Metropolitan City,Conditional,1012000000.0
2079/80,Federal,Local,Dhangadhi Sub Metropolitan City,Special,197000000.0
2079/80,Federal,Local,Dhangadhi Sub Metropolitan City,Complementary,220000000.0
2079/80,Federal,Local,Dharan Sub Metropolitan City,Equalization,1323000000.0
2079/80,Federal,Local,Dharan Sub Metropolitan City,Conditional,1502000000.0
2079/80,Federal,Local,Dharan Sub Metropolitan City,Special,130000000.0
2079/80,Federal,Local,Dharan Sub Metropolitan City,Complementary,365000000.0
2079/80,Federal,Local,Shuklagandaki Municipality,Equalization,2066000000.0
2079/80,Federal,Local,Shuklagandaki Municipality,Conditional,1670000000.0
2079/80,Federal,Local,Shuklagandaki Municipality,Special,316000000.0
2079/80,Federal,Local,Shuklagandaki Municipality,Complementary,571000000.0
2079/80,Federal,Local,Bhaktapur Municipality,Equalization,1119000000.0
2079/80,Federal,Local,Bhaktapur Municipality,Conditional,1296000000.0
2079/80,Federal,Local,Bhaktapur Municipality,Special,160000000.0
2079/80,Federal,Local,Bhaktapur Municipality,Complementary,531000000.0
2079/80,Federal,Local,Waling Municipality,Equalization,2178000000.0
2079/80,Federal,Local,Waling Municipality,Conditional,537000000.0
2079/80,Federal,Local,Waling Municipality,Special,248000000.0
2079/80,Federal,Local,Waling Municipality,Complementary,449000000.0
2079/80,Federal,Local,Annapurna Rural Municipality,Equalization,2838000000.0
2079/80,Federal,Local,Annapurna Rural Municipality,Conditional,440000000.0
2079/80,Federal,Local,Annapurna Rural Municipality,Special,282000000.0
2079/80,Federal,Local,Annapurna Rural Municipality,Complementary,256000000.0
2079/80,Federal,Local,Machhapuchhre Rural Municipality,Equalization,1824000000.0
2079/80,Federal,Local,Machhapuchhre Rural Municipality,Conditional,963000000.0
2079/80,Federal,Local,Machhapuchhre Rural Municipality,Special,343000000.0
2079/80,Federal,Local,Machhapuchhre Rural Municipality,Complementary,142000000.0
2079/80,Federal,Local,Madi Rural Municipality,Equalization,924000000.0
2079/80,Federal,Local,Madi Rural Municipality,Conditional,1492000000.0
2079/80,Federal,Local,Madi Rural Municipality,Special,243000000.0
2079/80,Federal,Local,Madi Rural Municipality,Complementary,216000000.0
2080/81,Federal,Province,Koshi Province,Equalization,14000000000.0
2080/81,Federal,Province,Koshi Province,Conditional,7000000000.0
2080/81,Federal,Province,Koshi Province,Special,3000000000.0
2080/81,Federal,Province,Koshi Province,Complementary,2000000000.0
2080/81,Federal,Province,Madhesh Province,Equalization,11000000000.0
2080/81,Federal,Province,Madhesh Province,Conditional,4000000000.0
2080/81,Federal,Province,Madhesh Province,Special,2000000000.0
2080/81,Federal,Province,Madhesh Province,Complementary,3000000000.0
2080/81,Federal,Province,Bagmati Province,Equalization,13000000000.0
2080/81,Federal,Province,Bagmati Province,Conditional,4000000000.0
2080/81,Federal,Province,Bagmati Province,Special,5000000000.0
2080/81,Federal,Province,Bagmati Province,Complementary,4000000000.0
2080/81,Federal,Province,Gandaki Province,Equalization,10000000000.0
2080/81,Federal,Province,Gandaki Province,Conditional,6000000000.0
2080/81,Federal,Province,Gandaki Province,Special,5000000000.0
2080/81,Federal,Province,Gandaki Province,Complementary,3000000000.0
2080/81,Federal,Province,Lumbini Province,Equalization,12000000000.0
2080/81,Federal,Province,Lumbini Province,Conditional,4000000000.0
2080/81,Federal,Province,Lumbini Province,Special,7000000000.0
2080/81,Federal,Province,Lumbini Province,Complementary,2000000000.0
2080/81,Federal,Province,Karnali Province,Equalization,14000000000.0
2080/81,Federal,Province,Karnali Province,Conditional,4000000000.0
2080/81,Federal,Province,Karnali Province,Special,7000000000.0
2080/81,Federal,Province,Karnali Province,Complementary,2000000000.0
2080/81,Federal,Province,Sudurpashchim Province,Equalization,13000000000.0
2080/81,Federal,Province,Sudurpashchim Province,Conditional,8000000000.0
2080/81,Federal,Province,Sudurpashchim Province,Special,3000000000.0
2080/81,Federal,Province,Sudurpashchim Province,Complementary,3000000000.0
2080/81,Federal,Local,Kathmandu Metropolitan City,Equalization,1613000000.0
2080/81,Federal,Local,Kathmandu Metropolitan City,Conditional,1234000000.0
2080/81,Federal,Local,Kathmandu Metropolitan City,Special,272000000.0
2080/81,Federal,Local,Kathmandu Metropolitan City,Complementary,415000000.0
2080/81,Federal,Local,Lalitpur Metropolitan City,Equalization,1492000000.0
2080/81,Federal,Local,Lalitpur Metropolitan City,Conditional,1057000000.0
2080/81,Federal,Local,Lalitpur Metropolitan City,Special,120000000.0
2080/81,Federal,Local,Lalitpur Metropolitan City,Complementary,513000000.0
2080/81,Federal,Local,Pokhara Metropolitan City,Equalization,2074000000.0
2080/81,Federal,Local,Pokhara Metropolitan City,Conditional,354000000.0
2080/81,Federal,Local,Pokhara Metropolitan City,Special,311000000.0
2080/81,Federal,Local,Pokhara Metropolitan City,Complementary,526000000.0
2080/81,Federal,Local,Bharatpur Metropolitan City,Equalization,2031000000.0
2080/81,Federal,Local,Bharatpur Metropolitan City,Conditional,1366000000.0
2080/81,Federal,Local,Bharatpur Metropolitan City,Special,166000000.0
2080/81,Federal,Local,Bharatpur Metropolitan City,Complementary,157000000.0
2080/81,Federal,Local,Biratnagar Metropolitan City,Equalization,1162000000.0
2080/81,Federal,Local,Biratnagar Metropolitan City,Conditional,1321000000.0
2080/81,Federal,Local,Biratnagar Metropolitan City,Special,264000000.0
2080/81,Federal,Local,Biratnagar Metropolitan City,Complementary,571000000.0
2080/81,Federal,Local,Butwal Sub Metropolitan City,Equalization,2887000000.0
2080/81,Federal,Local,Butwal Sub Metropolitan City,Conditional,1194000000.0
2080/81,Federal,Local,Butwal Sub Metropolitan City,Special,221000000.0
2080/81,Federal,Local,Butwal Sub Metropolitan City,Complementary,104000000.0
2080/81,Federal,Local,Hetauda Sub Metropolitan City,Equalization,1632000000.0
2080/81,Federal,Local,Hetauda Sub Metropolitan City,Conditional,720000000.0
2080/81,Federal,Local,Hetauda Sub Metropolitan City,Special,200000000.0
2080/81,Federal,Local,Hetauda Sub Metropolitan City,Complementary,543000000.0
2080/81,Federal,Local,Ghorahi Sub Metropolitan City,Equalization,1247000000.0
2080/81,Federal,Local,Ghorahi Sub Metropolitan City,Conditional,1048000000.0
2080/81,Federal,Local,Ghorahi Sub Metropolitan City,Special,374000000.0
2080/81,Federal,Local,Ghorahi Sub Metropolitan City,Complementary,295000000.0
2080/81,Federal,Local,Tansen Municipality,Equalization,808000000.0
2080/81,Federal,Local,Tansen Municipality,Conditional,855000000.0
2080/81,Federal,Local,Tansen Municipality,Special,306000000.0
2080/81,Federal,Local,Tansen Municipality,Complementary,257000000.0
2080/81,Federal,Local,Dhangadhi Sub Metropolitan City,Equalization,1038000000.0
2080/81,Federal,Local,Dhangadhi Sub Metropolitan City,Conditional,477000000.0
2080/81,Federal,Local,Dhangadhi Sub Metropolitan City,Special,349000000.0
2080/81,Federal,Local,Dhangadhi Sub Metropolitan City,Complementary,419000000.0
2080/81,Federal,Local,Dharan Sub Metropolitan City,Equalization,2209000000.0
2080/81,Federal,Local,Dharan Sub Metropolitan City,Conditional,1632000000.0
2080/81,Federal,Local,Dharan Sub Metropolitan City,Special,154000000.0
2080/81,Federal,Local,Dharan Sub Metropolitan City,Complementary,410000000.0
2080/81,Federal,Local,Shuklagandaki Municipality,Equalization,1749000000.0
2080/81,Federal,Local,Shuklagandaki Municipality,Conditional,775000000.0
2080/81,Federal,Local,Shuklagandaki Municipality,Special,385000000.0
2080/81,Federal,Local,Shuklagandaki Municipality,Complementary,141000000.0
2080/81,Federal,Local,Bhaktapur Municipality,Equalization,2623000000.0
2080/81,Federal,Local,Bhaktapur Municipality,Conditional,1821000000.0
2080/81,Federal,Local,Bhaktapur Municipality,Special,267000000.0
2080/81,Federal,Local,Bhaktapur Municipality,Complementary,263000000.0
2080/81,Federal,Local,Waling Municipality,Equalization,924000000.0
2080/81,Federal,Local,Waling Municipality,Conditional,1077000000.0
2080/81,Federal,Local,Waling Municipality,Special,334000000.0
2080/81,Federal,Local,Waling Municipality,Complementary,136000000.0
2080/81,Federal,Local,Annapurna Rural Municipality,Equalization,2020000000.0
2080/81,Federal,Local,Annapurna Rural Municipality,Conditional,952000000.0
2080/81,Federal,Local,Annapurna Rural Municipality,Special,181000000.0
2080/81,Federal,Local,Annapurna Rural Municipality,Complementary,172000000.0
2080/81,Federal,Local,Machhapuchhre Rural Municipality,Equalization,1421000000.0
2080/81,Federal,Local,Machhapuchhre Rural Municipality,Conditional,453000000.0
2080/81,Federal,Local,Machhapuchhre Rural Municipality,Special,108000000.0
2080/81,Federal,Local,Machhapuchhre Rural Municipality,Complementary,446000000.0
2080/81,Federal,Local,Madi Rural Municipality,Equalization,2186000000.0
2080/81,Federal,Local,Madi Rural Municipality,Conditional,1133000000.0
2080/81,Federal,Local,Madi Rural Municipality,Special,281000000.0
2080/81,Federal,Local,Madi Rural Municipality,Complementary,192000000.0
2081/82,Federal,Province,Koshi Province,Equalization,10000000000.0
2081/82,Federal,Province,Koshi Province,Conditional,6000000000.0
2081/82,Federal,Province,Koshi Province,Special,6000000000.0
2081/82,Federal,Province,Koshi Province,Complementary,1000000000.0
2081/82,Federal,Province,Madhesh Province,Equalization,7000000000.0
2081/82,Federal,Province,Madhesh Province,Conditional,7000000000.0
2081/82,Federal,Province,Madhesh Province,Special,2000000000.0
2081/82,Federal,Province,Madhesh Province,Complementary,4000000000.0
2081/82,Federal,Province,Bagmati Province,Equalization,7000000000.0
2081/82,Federal,Province,Bagmati Province,Conditional,10000000000.0
2081/82,Federal,Province,Bagmati Province,Special,7000000000.0
2081/82,Federal,Province,Bagmati Province,Complementary,1000000000.0
2081/82,Federal,Province,Gandaki Province,Equalization,13000000000.0
2081/82,Federal,Province,Gandaki Province,Conditional,10000000000.0
2081/82,Federal,Province,Gandaki Province,Special,6000000000.0
2081/82,Federal,Province,Gandaki Province,Complementary,1000000000.0
2081/82,Federal,Province,Lumbini Province,Equalization,10000000000.0
2081/82,Federal,Province,Lumbini Province,Conditional,4000000000.0
2081/82,Federal,Province,Lumbini Province,Special,5000000000.0
2081/82,Federal,Province,Lumbini Province,Complementary,1000000000.0
2081/82,Federal,Province,Karnali Province,Equalization,15000000000.0
2081/82,Federal,Province,Karnali Province,Conditional,9000000000.0
2081/82,Federal,Province,Karnali Province,Special,2000000000.0
2081/82,Federal,Province,Karnali Province,Complementary,1000000000.0
2081/82,Federal,Province,Sudurpashchim Province,Equalization,15000000000.0
2081/82,Federal,Province,Sudurpashchim Province,Conditional,8000000000.0
2081/82,Federal,Province,Sudurpashchim Province,Special,6000000000.0
2081/82,Federal,Province,Sudurpashchim Province,Complementary,3000000000.0
2081/82,Federal,Local,Kathmandu Metropolitan City,Equalization,2533000000.0
2081/82,Federal,Local,Kathmandu Metropolitan City,Conditional,379000000.0
2081/82,Federal,Local,Kathmandu Metropolitan City,Special,234000000.0
2081/82,Federal,Local,Kathmandu Metropolitan City,Complementary,292000000.0
2081/82,Federal,Local,Lalitpur Metropolitan City,Equalization,1022000000.0
2081/82,Federal,Local,Lalitpur Metropolitan City,Conditional,711000000.0
2081/82,Federal,Local,Lalitpur Metropolitan City,Special,343000000.0
2081/82,Federal,Local,Lalitpur Metropolitan City,Complementary,224000000.0
2081/82,Federal,Local,Pokhara Metropolitan City,Equalization,2758000000.0
2081/82,Federal,Local,Pokhara Metropolitan City,Conditional,1767000000.0
2081/82,Federal,Local,Pokhara Metropolitan City,Special,331000000.0
2081/82,Federal,Local,Pokhara Metropolitan City,Complementary,303000000.0
2081/82,Federal,Local,Bharatpur Metropolitan City,Equalization,2175000000.0
2081/82,Federal,Local,Bharatpur Metropolitan City,Conditional,1040000000.0
2081/82,Federal,Local,Bharatpur Metropolitan City,Special,138000000.0
2081/82,Federal,Local,Bharatpur Metropolitan City,Complementary,199000000.0
2081/82,Federal,Local,Biratnagar Metropolitan City,Equalization,1914000000.0
2081/82,Federal,Local,Biratnagar Metropolitan City,Conditional,1735000000.0
2081/82,Federal,Local,Biratnagar Metropolitan City,Special,339000000.0
2081/82,Federal,Local,Biratnagar Metropolitan City,Complementary,539000000.0
2081/82,Federal,Local,Butwal Sub Metropolitan City,Equalization,1121000000.0
2081/82,Federal,Local,Butwal Sub Metropolitan City,Conditional,1479000000.0
2081/82,Federal,Local,Butwal Sub Metropolitan City,Special,297000000.0
2081/82,Federal,Local,Butwal Sub Metropolitan City,Complementary,543000000.0
2081/82,Federal,Local,Hetauda Sub Metropolitan City,Equalization,2467000000.0
2081/82,Federal,Local,Hetauda Sub Metropolitan City,Conditional,728000000.0
2081/82,Federal,Local,Hetauda Sub Metropolitan City,Special,293000000.0
2081/82,Federal,Local,Hetauda Sub Metropolitan City,Complementary,456000000.0
2081/82,Federal,Local,Ghorahi Sub Metropolitan City,Equalization,998000000.0
2081/82,Federal,Local,Ghorahi Sub Metropolitan City,Conditional,462000000.0
2081/82,Federal,Local,Ghorahi Sub Metropolitan City,Special,189000000.0
2081/82,Federal,Local,Ghorahi Sub Metropolitan City,Complementary,569000000.0
2081/82,Federal,Local,Tansen Municipality,Equalization,1904000000.0
2081/82,Federal,Local,Tansen Municipality,Conditional,819000000.0
2081/82,Federal,Local,Tansen Municipality,Special,398000000.0
2081/82,Federal,Local,Tansen Municipality,Complementary,119000000.0
2081/82,Federal,Local,Dhangadhi Sub Metropolitan City,Equalization,1189000000.0
2081/82,Federal,Local,Dhangadhi Sub Metropolitan City,Conditional,1760000000.0
2081/82,Federal,Local,Dhangadhi Sub Metropolitan City,Special,344000000.0
2081/82,Federal,Local,Dhangadhi Sub Metropolitan City,Complementary,266000000.0
2081/82,Federal,Local,Dharan Sub Metropolitan City,Equalization,886000000.0
2081/82,Federal,Local,Dharan Sub Metropolitan City,Conditional,836000000.0
2081/82,Federal,Local,Dharan Sub Metropolitan City,Special,175000000.0
2081/82,Federal,Local,Dharan Sub Metropolitan City,Complementary,575000000.0
2081/82,Federal,Local,Shuklagandaki Municipality,Equalization,2420000000.0
2081/82,Federal,Local,Shuklagandaki Municipality,Conditional,1880000000.0
2081/82,Federal,Local,Shuklagandaki Municipality,Special,314000000.0
2081/82,Federal,Local,Shuklagandaki Municipality,Complementary,308000000.0
2081/82,Federal,Local,Bhaktapur Municipality,Equalization,2219000000.0
2081/82,Federal,Local,Bhaktapur Municipality,Conditional,1144000000.0
2081/82,Federal,Local,Bhaktapur Municipality,Special,216000000.0
2081/82,Federal,Local,Bhaktapur Municipality,Complementary,521000000.0
2081/82,Federal,Local,Waling Municipality,Equalization,2431000000.0
2081/82,Federal,Local,Waling Municipality,Conditional,1293000000.0
2081/82,Federal,Local,Waling Municipality,Special,179000000.0
2081/82,Federal,Local,Waling Municipality,Complementary,313000000.0
2081/82,Federal,Local,Annapurna Rural Municipality,Equalization,2062000000.0
2081/82,Federal,Local,Annapurna Rural Municipality,Conditional,430000000.0
2081/82,Federal,Local,Annapurna Rural Municipality,Special,252000000.0
2081/82,Federal,Local,Annapurna Rural Municipality,Complementary,298000000.0
2081/82,Federal,Local,Machhapuchhre Rural Municipality,Equalization,1516000000.0
2081/82,Federal,Local,Machhapuchhre Rural Municipality,Conditional,504000000.0
2081/82,Federal,Local,Machhapuchhre Rural Municipality,Special,84000000.0
2081/82,Federal,Local,Machhapuchhre Rural Municipality,Complementary,546000000.0
2081/82,Federal,Local,Madi Rural Municipality,Equalization,1714000000.0
2081/82,Federal,Local,Madi Rural Municipality,Conditional,1666000000.0
2081/82,Federal,Local,Madi Rural Municipality,Special,93000000.0
2081/82,Federal,Local,Madi Rural Municipality,Complementary,121000000.0
2082/83,Federal,Province,Koshi Province,Equalization,13000000000.0
2082/83,Federal,Province,Koshi Province,Conditional,5000000000.0
2082/83,Federal,Province,Koshi Province,Special,6000000000.0
2082/83,Federal,Province,Koshi Province,Complementary,1000000000.0
2082/83,Federal,Province,Madhesh Province,Equalization,8000000000.0
2082/83,Federal,Province,Madhesh Province,Conditional,6000000000.0
2082/83,Federal,Province,Madhesh Province,Special,3000000000.0
2082/83,Federal,Province,Madhesh Province,Complementary,4000000000.0
2082/83,Federal,Province,Bagmati Province,Equalization,14000000000.0
2082/83,Federal,Province,Bagmati Province,Conditional,4000000000.0
2082/83,Federal,Province,Bagmati Province,Special,5000000000.0
2082/83,Federal,Province,Bagmati Province,Complementary,4000000000.0
2082/83,Federal,Province,Gandaki Province,Equalization,15000000000.0
2082/83,Federal,Province,Gandaki Province,Conditional,9000000000.0
2082/83,Federal,Province,Gandaki Province,Special,6000000000.0
