Project, District, Amount_Thousand_NPR
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 1000
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 1000
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 1000
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 500
"Tourism and Industry Office", Gorkha, 1500
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1200
"Tourism and Industry Office", Gorkha, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 1000
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Syangja, 500
"Tourism and Industry Office", Myagdi, 2500
"Tourism and Industry Office", Myagdi, 2000
"Tourism and Industry Office", Myagdi, 1500
"Tourism and Industry Office", Myagdi, 1000
"Tourism and Industry Office", Myagdi, 2000
"Tourism and Industry Office", Myagdi, 2500
"Tourism and Industry Office", Myagdi, 1500
"Tourism and Industry Office", Myagdi, 1000
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 1000
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Myagdi, 500
"Tourism and Industry Office", Parbat, 2000
"Tourism and Industry Office", Parbat, 1500
"Tourism and Industry Office", Parbat, 1000
"Tourism and Industry Office", Parbat, 1000
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 1000
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Parbat, 500
"Tourism and Industry Office", Baglung, 3000
"Tourism and Industry Office", Baglung, 2500
"Tourism and Industry Office", Baglung, 2000
"Tourism and Industry Office", Baglung, 2500
"Tourism and Industry Office", Baglung, 1500
"Tourism and Industry Office", Baglung, 1500
"Tourism and Industry Office", Baglung, 1000
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 1000
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Baglung, 500
"Tourism and Industry Office", Mustang, 3000
"Tourism and Industry Office", Mustang, 2500
"Tourism and Industry Office", Mustang, 1500
"Tourism and Industry Office", Mustang, 2000
"Tourism and Industry Office", Mustang, 1000
"Tourism and Industry Office", Mustang, 1000
"Tourism and Industry Office", Mustang, 500
"Tourism and Industry Office", Mustang, 1000
"Tourism and Industry Office", Mustang, 1000
"Agriculture Knowledge Center", Gorkha, 2400
"Agriculture Knowledge Center", Gorkha, 1500
"Agriculture Knowledge Center", Gorkha, 2500
"Agriculture Knowledge Center", Gorkha, 550
"Agriculture Knowledge Center", Gorkha, 1500
"Agriculture Knowledge Center", Gorkha, 500
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 3000
"Agriculture Knowledge Center", Gorkha, 750
"Agriculture Knowledge Center", Gorkha, 1080
"Agriculture Knowledge Center", Gorkha, 7410
"Agriculture Knowledge Center", Gorkha, 500
"Agriculture Knowledge Center", Gorkha, 4000
"Agriculture Knowledge Center", Gorkha, 6700
"Agriculture Knowledge Center", Gorkha, 1650
"Agriculture Knowledge Center", Gorkha, 2050
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 2500
"Agriculture Knowledge Center", Gorkha, 500
"Agriculture Knowledge Center", Gorkha, 1500
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 11000
"Agriculture Knowledge Center", Gorkha, 3000
"Agriculture Knowledge Center", Gorkha, 1500
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Gorkha, 1000
"Agriculture Knowledge Center", Lamjung, 1500
\
