entity_name,entity_type,fiscal_year,revenue_internal,revenue_grants,sector_health,sector_education,sector_infra,sector_agriculture
Sudurpashchim,Province,2082/83,13200000000,118800000000,27884797671.0636,32454700967.4088,21933091688.1341,49727409673.3935
Koshi Metro 1,Local,2078/79,300000000,5000000000,256906132.147058,582618317.315758,3803494869.37526,656980681.161927
Koshi Metro 1,Local,2079/80,324000000,5400000000,1285592785.36239,2036873961.28996,1764337526.86266,637195726.484984
Koshi Metro 1,Local,2080/81,348000000,5800000000,388875043.902202,2344096264.6241,2984210343.1294,430818348.344299
Koshi Metro 1,Local,2081/82,372000000,6200000000,684429117.969335,2140742862.17351,3594437493.53077,152390526.32638
Koshi Metro 1,Local,2082/83,396000000,6600000000,2413174359.21674,3287645072.6108,778149342.016779,517031226.155682
Koshi Sub-Metro 2,Local,2078/79,300000000,5000000000,1588764665.5084,1175206510.5467,1993726638.74214,542302185.202756
Koshi Sub-Metro 2,Local,2079/80,324000000,5400000000,842031020.651847,2154905410.94497,1614845695.91503,1112217872.48816
Koshi Sub-Metro 2,Local,2080/81,348000000,5800000000,332174049.145148,1824115415.40411,2991781698.55917,999928836.891576
Koshi Sub-Metro 2,Local,2081/82,372000000,6200000000,1265813726.9813,2629535503.47208,984322041.28565,1692328728.26097
Koshi Sub-Metro 2,Local,2082/83,396000000,6600000000,1433764603.28697,1373638417.71045,3301778298.22372,886818680.778858
Koshi Municipality 3,Local,2078/79,300000000,5000000000,857548894.172398,1369148120.84655,2054525779.29121,1018777205.68984
Koshi Municipality 3,Local,2079/80,324000000,5400000000,330671288.880147,2205387514.93053,2838719115.39754,349222080.791783
Koshi Municipality 3,Local,2080/81,348000000,5800000000,445282856.082993,3394526294.33039,1885142764.46896,423048085.117653
Koshi Municipality 3,Local,2081/82,372000000,6200000000,1439392654.48771,1986760501.85096,2416132776.61721,729714067.044122
Koshi Municipality 3,Local,2082/83,396000000,6600000000,1047869186.67808,2449594751.03758,1825849710.22986,1672686352.05447
Koshi Rural Municipality 4,Local,2078/79,300000000,5000000000,835154635.573589,1673682123.29567,1598027697.85949,1193135543.27126
Koshi Rural Municipality 4,Local,2079/80,324000000,5400000000,1286742787.64412,1674910110.69123,1910973848.8183,851373252.846355
Koshi Rural Municipality 4,Local,2080/81,348000000,5800000000,1931145368.95595,1390142470.53828,430495835.710043,2396216324.79572
Koshi Rural Municipality 4,Local,2081/82,372000000,6200000000,1874464396.29743,1455010635.87606,2341395404.89823,901129562.928283
Koshi Rural Municipality 4,Local,2082/83,396000000,6600000000,1264544719.07281,1786859162.33326,3104937745.40496,839658373.188962
Madhesh Metro 1,Local,2078/79,300000000,5000000000,707383617.239984,2242608349.13062,1805451065.70488,544556967.924515
Madhesh Metro 1,Local,2079/80,324000000,5400000000,1281835327.6211,1108665121.63108,2587817555.51489,745681995.232923
Madhesh Metro 1,Local,2080/81,348000000,5800000000,1656342045.88887,2872275459.6118,1083469033.16636,535913461.332967
Madhesh Metro 1,Local,2081/82,372000000,6200000000,945772898.399742,2003617470.03181,2156846103.63766,1465763527.9308
Madhesh Metro 1,Local,2082/83,396000000,6600000000,1907336632.5167,2107172503.72815,2695458315.7794,286032547.975751
Madhesh Sub-Metro 2,Local,2078/79,300000000,5000000000,1660381434.81025,1273453029.50942,1458230642.58165,907934893.098678
Madhesh Sub-Metro 2,Local,2079/80,324000000,5400000000,786610669.820931,1641587345.57213,3005538959.70115,290263024.905792
Madhesh Sub-Metro 2,Local,2080/81,348000000,5800000000,615769729.937429,2057313612.04379,2484598667.53012,990317990.488653
Madhesh Sub-Metro 2,Local,2081/82,372000000,6200000000,1219170254.98752,754734179.264285,3482649571.73521,1115445994.01299
Madhesh Sub-Metro 2,Local,2082/83,396000000,6600000000,644900281.864026,2291017057.71452,3131136002.92822,928946657.493236
Madhesh Municipality 3,Local,2078/79,300000000,5000000000,2070838440.524,484114893.513786,1230860158.79152,1514186507.17069
Madhesh Municipality 3,Local,2079/80,324000000,5400000000,349210694.950329,1308922827.75837,3757878794.30605,307987682.985245
Madhesh Municipality 3,Local,2080/81,348000000,5800000000,907340365.68031,2326815363.01179,2236269992.33685,677574278.971046
Madhesh Municipality 3,Local,2081/82,372000000,6200000000,831131203.53938,1610744904.30656,3200903307.78971,929220584.36435
Madhesh Municipality 3,Local,2082/83,396000000,6600000000,1740941688.50971,2023150171.08158,1335410223.30885,1896497917.09986
Madhesh Rural Municipality 4,Local,2078/79,300000000,5000000000,1572263459.96183,846465939.049743,1337974770.15771,1543295830.83072
Madhesh Rural Municipality 4,Local,2079/80,324000000,5400000000,1525737852.96493,993995730.41843,2952132713.20665,252133703.409984
Madhesh Rural Municipality 4,Local,2080/81,348000000,5800000000,1580893536.65962,1405912776.00074,2152139881.13908,1009053806.20056
Madhesh Rural Municipality 4,Local,2081/82,372000000,6200000000,1888759450.00341,1149901949.55185,2958126645.04061,575211955.404124
Madhesh Rural Municipality 4,Local,2082/83,396000000,6600000000,1261909824.23365,1535381759.603,2737673519.0188,1461034897.14454
Bagmati Metro 1,Local,2078/79,300000000,5000000000,1155919393.07753,1784284036.5015,1994912715.81401,364883854.606954
Bagmati Metro 1,Local,2079/80,324000000,5400000000,2217599045.75904,1107243888.71419,1916049844.53664,483107220.990123
Bagmati Metro 1,Local,2080/81,348000000,5800000000,844440072.173591,2383318591.58214,2256332413.65352,663908922.590754
Bagmati Metro 1,Local,2081/82,372000000,6200000000,1733314860.48017,578632935.945259,3262410895.79058,997641307.783994
Bagmati Metro 1,Local,2082/83,396000000,6600000000,1440256182.28002,431499401.073446,3940299186.80782,1183945229.83871
Bagmati Sub-Metro 2,Local,2078/79,300000000,5000000000,627492163.651462,637651742.866395,3096757387.63762,938098705.844526
Bagmati Sub-Metro 2,Local,2079/80,324000000,5400000000,929790345.319265,983290153.88356,2807415599.98553,1003503900.81165
Bagmati Sub-Metro 2,Local,2080/81,348000000,5800000000,1093731718.54504,3029267443.40061,1367708758.71707,657292079.337282
Bagmati Sub-Metro 2,Local,2081/82,372000000,6200000000,2090184202.44954,1783082688.78357,2576009322.60763,122723786.159268
Bagmati Sub-Metro 2,Local,2082/83,396000000,6600000000,409928333.727604,2313602271.08501,3152238621.5605,1120230773.62688
Bagmati Municipality 3,Local,2078/79,300000000,5000000000,1137896889.43722,2087877508.96164,1375437445.22316,698788156.377989
Bagmati Municipality 3,Local,2079/80,324000000,5400000000,2918678949.63362,570254730.330345,1585180621.69056,649885698.345477
Bagmati Municipality 3,Local,2080/81,348000000,5800000000,946569515.746005,1033519063.88322,3560941635.92026,606969784.450522
Bagmati Municipality 3,Local,2081/82,372000000,6200000000,3055921778.51883,1105710508.70624,1605708274.54755,804659438.227377
Bagmati Municipality 3,Local,2082/83,396000000,6600000000,1344535451.01174,3075171973.2799,2518848018.66884,57444557.0395294
Bagmati Rural Municipality 4,Local,2078/79,300000000,5000000000,1490227521.44848,1932215375.02634,1509386115.81884,368170987.706338
Bagmati Rural Municipality 4,Local,2079/80,324000000,5400000000,862643408.258782,2126772857.05045,1710814807.34152,1023768927.34925
Bagmati Rural Municipality 4,Local,2080/81,348000000,5800000000,376893531.268273,1601424308.92623,3020645781.41099,1149036378.39451
Bagmati Rural Municipality 4,Local,2081/82,372000000,6200000000,868365951.374625,1371393595.67018,4031242336.1952,300998116.760001
Bagmati Rural Municipality 4,Local,2082/83,396000000,6600000000,669046921.858159,628658826.3487,2483014324.89203,3215279926.90112
Gandaki Metro 1,Local,2078/79,300000000,5000000000,1568247310.33006,1075153561.38991,1573991107.48324,1082608020.79679
Gandaki Metro 1,Local,2079/80,324000000,5400000000,567113460.958132,2875724178.37302,1935441062.56383,345721298.105015
Gandaki Metro 1,Local,2080/81,348000000,5800000000,444075592.70666,2389785388.08683,2627767716.82521,686371302.381299
Gandaki Metro 1,Local,2081/82,372000000,6200000000,1386779711.9645,2294457068.72135,1787100546.96702,1103662672.34713
Gandaki Metro 1,Local,2082/83,396000000,6600000000,1644558355.84322,990268084.094046,2019137435.58597,2342036124.47677
Gandaki Sub-Metro 2,Local,2078/79,300000000,5000000000,369598451.898851,2111033759.07246,1903345044.53779,916022744.490899
Gandaki Sub-Metro 2,Local,2079/80,324000000,5400000000,726102322.11948,2041448387.10594,860625754.138785,2095823536.6358
Gandaki Sub-Metro 2,Local,2080/81,348000000,5800000000,622460230.371029,2519872333.58785,1969919322.72748,1035748113.31364
Gandaki Sub-Metro 2,Local,2081/82,372000000,6200000000,1862261726.88741,1050534042.29114,3239047061.86358,420157168.95786
Gandaki Sub-Metro 2,Local,2082/83,396000000,6600000000,513176653.13807,2711726618.91485,2036577861.69068,1734518866.2564
Gandaki Municipality 3,Local,2078/79,300000000,5000000000,704138101.131696,2352997887.95136,1446209936.82823,796654074.088714
Gandaki Municipality 3,Local,2079/80,324000000,5400000000,1176094862.17213,3043790375.24914,1262063345.84317,242051416.735561
Gandaki Municipality 3,Local,2080/81,348000000,5800000000,2423045273.64235,1012251856.10424,2042624255.03492,670078615.218489
Gandaki Municipality 3,Local,2081/82,372000000,6200000000,2546982725.20735,2165890279.71015,1115693995.25872,743432999.823775
Gandaki Municipality 3,Local,2082/83,396000000,6600000000,1083795276.9927,2852394602.55011,2552781165.48006,507028954.977128
Gandaki Rural Municipality 4,Local,2078/79,300000000,5000000000,678244801.646201,2273495921.25885,1769225640.7145,579033636.380456
Gandaki Rural Municipality 4,Local,2079/80,324000000,5400000000,792416844.12338,656854005.76218,2542778171.14842,1731950978.96602
Gandaki Rural Municipality 4,Local,2080/81,348000000,5800000000,462699553.178895,1967306189.54388,2662069305.64134,1055924951.63588
Gandaki Rural Municipality 4,Local,2081/82,372000000,6200000000,1214832000.98354,1232394514.00061,2714798085.44371,1409975399.57213
Gandaki Rural Municipality 4,Local,2082/83,396000000,6600000000,1835910071.66212,2156455523.49866,2319921784.33498,683712620.504244
Lumbini Metro 1,Local,2078/79,300000000,5000000000,1547876222.84763,1251329951.91598,2302702447.60721,198091377.629183
Lumbini Metro 1,Local,2079/80,324000000,5400000000,493475843.313878,1188417194.67049,2756889293.47437,1285217668.54126
Lumbini Metro 1,Local,2080/81,348000000,5800000000,1429004697.67229,1924615048.71944,2392917400.51301,401462853.095272
Lumbini Metro 1,Local,2081/82,372000000,6200000000,905375115.934452,3026807779.24955,2156631828.12319,483185276.692814
Lumbini Metro 1,Local,2082/83,396000000,6600000000,1854335198.95128,2399682488.95116,1962874839.46576,779107472.631811
Lumbini Sub-Metro 2,Local,2078/79,300000000,5000000000,1839992179.79791,1439496632.14723,1407087054.91444,613424133.140419
Lumbini Sub-Metro 2,Local,2079/80,324000000,5400000000,895966370.494522,2240929026.37106,1204138789.46328,1382965813.67114
Lumbini Sub-Metro 2,Local,2080/81,348000000,5800000000,793959749.331435,910372740.443453,4331547670.04481,112119840.180306
Lumbini Sub-Metro 2,Local,2081/82,372000000,6200000000,1117730786.19517,3059950178.39656,1871395170.85662,522923864.551655
Lumbini Sub-Metro 2,Local,2082/83,396000000,6600000000,1181398403.06697,1511608753.1243,2261945906.94659,2041046936.86214
Lumbini Municipality 3,Local,2078/79,300000000,5000000000,846025279.133117,1729690457.48506,1140802553.93988,1583481709.44193
Lumbini Municipality 3,Local,2079/80,324000000,5400000000,1452403154.25111,1137507347.15213,2352884897.93902,781204600.657743
Lumbini Municipality 3,Local,2080/81,348000000,5800000000,1798405150.74828,1328885546.9661,2669642220.84343,351067081.442197
Lumbini Municipality 3,Local,2081/82,372000000,6200000000,2714782061.94461,1342512510.66182,2194038992.15597,320666435.237606
Lumbini Municipality 3,Local,2082/83,396000000,6600000000,1026044278.03683,1905524146.05813,2480399980.32631,1584031595.57874
Lumbini Rural Municipality 4,Local,2078/79,300000000,5000000000,733017446.541745,955675831.750156,3095921943.85922,515384777.848884
Lumbini Rural Municipality 4,Local,2079/80,324000000,5400000000,1147289583.46577,1523092983.81332,2148828831.37582,904788601.345083
Lumbini Rural Municipality 4,Local,2080/81,348000000,5800000000,2420839746.60376,862232233.942781,1326289888.48292,1538638130.97054
Lumbini Rural Municipality 4,Local,2081/82,372000000,6200000000,1099165746.13349,2023772783.69566,1657269784.05384,1791791686.11702
Lumbini Rural Municipality 4,Local,2082/83,396000000,6600000000,463185788.262893,3731681758.79894,1995554889.43961,805577563.498548
Karnali Metro 1,Local,2078/79,300000000,5000000000,1115068916.27023,630478837.864722,2361112514.84499,1193339731.02005
Karnali Metro 1,Local,2079/80,324000000,5400000000,1347547168.30627,1114458420.21195,2662091298.94583,599903112.535952
Karnali Metro 1,Local,2080/81,348000000,5800000000,1543046844.69255,1128073486.94305,2920738854.50668,556140813.857724
Karnali Metro 1,Local,2081/82,372000000,6200000000,1214412587.46281,3708749730.57412,1340158550.6086,308679131.354474
Karnali Metro 1,Local,2082/83,396000000,6600000000,1639305951.28125,1864397052.91014,2886539261.91418,605757733.894425
Karnali Sub-Metro 2,Local,2078/79,300000000,5000000000,948882266.718318,892760705.685985,1445197765.58568,2013159262.01001
Karnali Sub-Metro 2,Local,2079/80,324000000,5400000000,745033726.715742,672771948.568497,3605906706.77069,700287617.945072
Karnali Sub-Metro 2,Local,2080/81,348000000,5800000000,2143662676.42216,1197665255.80302,2563122866.50042,243549201.274413
Karnali Sub-Metro 2,Local,2081/82,372000000,6200000000,555063458.11867,2358659767.65544,1946750240.09153,1711526534.13435
Karnali Sub-Metro 2,Local,2082/83,396000000,6600000000,1170017641.56139,1042021138.57813,2165416069.87047,2618545149.99002
Karnali Municipality 3,Local,2078/79,300000000,5000000000,2245245874.76532,1492568986.5185,708439338.793367,853745799.922814
Karnali Municipality 3,Local,2079/80,324000000,5400000000,499060303.434561,585127596.757698,2160653131.25742,2479158968.55032
Karnali Municipality 3,Local,2080/81,348000000,5800000000,1273949631.67533,782433863.089731,3793195487.81677,298421017.418163
Karnali Municipality 3,Local,2081/82,372000000,6200000000,1028798505.8112,2132069688.16241,2804377279.9739,606754526.052489
Karnali Municipality 3,Local,2082/83,396000000,6600000000,1268294247.54347,1204860976.27646,3428420227.00684,1094424549.17324
Karnali Rural Municipality 4,Local,2078/79,300000000,5000000000,1542390808.54571,1246680136.55944,2388470713.59052,122458341.304329
Karnali Rural Municipality 4,Local,2079/80,324000000,5400000000,1805911582.84893,1814111848.33899,1968847059.33308,135129509.479006
Karnali Rural Municipality 4,Local,2080/81,348000000,5800000000,1128558950.29941,1942159398.769,1909615298.09704,1167666352.83455
Karnali Rural Municipality 4,Local,2081/82,372000000,6200000000,2323360944.87516,2974546824.8417,1065749826.70775,208342403.575396
Karnali Rural Municipality 4,Local,2082/83,396000000,6600000000,1998140825.99876,1269742128.68801,2479363124.99383,1248753920.3194
Sudurpashchim Metro 1,Local,2078/79,300000000,5000000000,839119145.345658,720328410.922445,2500333848.33118,1240218595.40072
Sudurpashchim Metro 1,Local,2079/80,324000000,5400000000,1285996181.17605,2151723143.7802,1335341687.12978,950938987.913967
Sudurpashchim Metro 1,Local,2080/81,348000000,5800000000,1196214311.44211,497514462.403017,2794409827.40177,1659861398.7531
Sudurpashchim Metro 1,Local,2081/82,372000000,6200000000,2258279756.91792,1886150506.5274,1496977467.98286,930592268.571822
Sudurpashchim Metro 1,Local,2082/83,396000000,6600000000,3555440086.41551,755131073.404501,1805796733.00581,879632107.174179
Sudurpashchim Sub-Metro 2,Local,2078/79,300000000,5000000000,564584928.956342,1236638332.35324,998257775.70972,2500518962.9807
Sudurpashchim Sub-Metro 2,Local,2079/80,324000000,5400000000,893386503.052362,735002796.437601,3245651953.92994,849958746.580097
Sudurpashchim Sub-Metro 2,Local,2080/81,348000000,5800000000,2647685091.35436,1474167318.54722,1587635916.37594,438511673.722486
Sudurpashchim Sub-Metro 2,Local,2081/82,372000000,6200000000,1379839006.82753,2764756335.74842,1639062520.38158,788342137.042463
Sudurpashchim Sub-Metro 2,Local,2082/83,396000000,6600000000,2366682255.57564,831350501.231192,2822768279.66406,975198963.529107
Sudurpashchim Municipality 3,Local,2078/79,300000000,5000000000,1169781757.7909,2348278772.64895,855063377.505538,926876092.054609
Sudurpashchim Municipality 3,Local,2079/80,324000000,5400000000,1203365677.06335,2329167464.50496,1688883263.06707,502583595.36462
Sudurpashchim Municipality 3,Local,2080/81,348000000,5800000000,1486555155.0628,2562032260.65262,779325649.177118,1320086935.10746
Sudurpashchim Municipality 3,Local,2081/82,372000000,6200000000,2286130899.66565,1106159702.98475,2847246797.13153,332462600.218066
Sudurpashchim Municipality 3,Local,2082/83,396000000,6600000000,1166329787.36599,1778182854.43371,3887373083.37176,164114274.828538
Sudurpashchim Rural Municipality 4,Local,2078/79,300000000,5000000000,1149418563.95215,1796318151.63281,1764335148.69143,589928135.723617
Sudurpashchim Rural Municipality 4,Local,2079/80,324000000,5400000000,1828196644.23365,1063943998.01411,2589104999.01068,242754358.741563
Sudurpashchim Rural Municipality 4,Local,2080/81,348000000,5800000000,1417863352.88729,1969555081.38091,2043484946.0487,717096619.683095
Sudurpashchim Rural Municipality 4,Local,2081/82,372000000,6200000000,1016048252.16409,3580553554.1896,1391907290.05612,583490903.590186
Sudurpashchim Rural Municipality 4,Local,2082/83,396000000,6600000000,1624613401.96455,2996416711.89437,2086261413.91416,288708472.226919
