record_id,entity_name,fiscal_year,month_index,month_name,cumulative_spend_capital,cumulative_spend_recurrent,target_spend,created_at,updated_at
28,Federal Government,2080/81,4,Kartik,16200000000.0,308000000000.0,259740000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
29,Federal Government,2080/81,5,Mangsir,27000000000.0,385000000000.0,404040000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
30,Federal Government,2080/81,6,Poush,39600000000.0,462000000000.0,577200000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
31,Federal Government,2080/81,7,Magh,54000000000.0,550000000000.0,750360000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
32,Federal Government,2080/81,8,Falgun,72000000000.0,638000000000.0,923520000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
33,Federal Government,2080/81,9,Chaitra,93600000000.0,726000000000.0,1082250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
34,Federal Government,2080/81,10,Baishakh,117000000000.0,825000000000.0,1226550000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
35,Federal Government,2080/81,11,Jestha,140400000000.0,935000000000.0,1341990000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
36,Federal Government,2080/81,12,Ashar,180000000000.0,1100000000000.0,1443000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
37,Federal Government,2081/82,1,Shrawan,1469500000.0,50497000000.0,29860200000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
38,Federal Government,2081/82,2,Bhadra,5878000000.0,121192800000.0,74650500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
39,Federal Government,2081/82,3,Ashoj,14695000000.0,201988000000.0,149301000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
40,Federal Government,2081/82,4,Kartik,26451000000.0,282783200000.0,268741800000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
41,Federal Government,2081/82,5,Mangsir,44085000000.0,353479000000.0,418042800000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
42,Federal Government,2081/82,6,Poush,64658000000.0,424174800000.0,597204000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
43,Federal Government,2081/82,7,Magh,88170000000.0,504970000000.0,776365200000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
44,Federal Government,2081/82,8,Falgun,117560000000.0,585765200000.0,955526400000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
45,Federal Government,2081/82,9,Chaitra,152828000000.0,666560400000.0,1119757500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
46,Federal Government,2081/82,10,Baishakh,191035000000.0,757455000000.0,1269058500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
47,Federal Government,2081/82,11,Jestha,229242000000.0,858449000000.0,1388499300000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
48,Federal Government,2081/82,12,Ashar,293900000000.0,1009940000000.0,1493010000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
49,Federal Government,2082/83,1,Shrawan,1631560000.0,53144100000.0,31777400000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
50,Federal Government,2082/83,2,Bhadra,6526240000.0,127545840000.0,79443500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
51,Federal Government,2082/83,3,Ashoj,16315600000.0,212576400000.0,158887000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
52,Federal Government,2082/83,4,Kartik,29368080000.0,297606960000.0,285996600000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
53,Federal Government,2082/83,5,Mangsir,0.0,0.0,444883600000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
54,Federal Government,2082/83,6,Poush,0.0,0.0,635548000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
55,Federal Government,2082/83,7,Magh,0.0,0.0,826212400000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
56,Federal Government,2082/83,8,Falgun,0.0,0.0,1016876800000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
57,Federal Government,2082/83,9,Chaitra,0.0,0.0,1191652500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
58,Federal Government,2082/83,10,Baishakh,0.0,0.0,1350539500000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
59,Federal Government,2082/83,11,Jestha,0.0,0.0,1477649100000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
60,Federal Government,2082/83,12,Ashar,0.0,0.0,1588870000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
61,Gandaki Province,2078/79,1,Shrawan,50000000.0,450000000.0,500000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
62,Gandaki Province,2078/79,2,Bhadra,200000000.0,1080000000.0,1250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
63,Gandaki Province,2078/79,3,Ashoj,500000000.0,1800000000.0,2500000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
64,Gandaki Province,2078/79,4,Kartik,900000000.0,2520000000.0,4500000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
65,Gandaki Province,2078/79,5,Mangsir,1500000000.0,3150000000.0,7000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
66,Gandaki Province,2078/79,6,Poush,2200000000.0,3780000000.0,10000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
67,Gandaki Province,2078/79,7,Magh,3000000000.0,4500000000.0,13000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
68,Gandaki Province,2078/79,8,Falgun,4000000000.0,5220000000.0,16000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
69,Gandaki Province,2078/79,9,Chaitra,5200000000.0,5940000000.0,18750000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
70,Gandaki Province,2078/79,10,Baishakh,6500000000.0,6750000000.0,21250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
71,Gandaki Province,2078/79,11,Jestha,7800000000.0,7650000000.0,23250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
72,Gandaki Province,2078/79,12,Ashar,10000000000.0,9000000000.0,25000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
73,Gandaki Province,2079/80,1,Shrawan,60000000.0,500000000.0,560000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
74,Gandaki Province,2079/80,2,Bhadra,240000000.0,1200000000.0,1400000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
75,Gandaki Province,2079/80,3,Ashoj,600000000.0,2000000000.0,2800000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
76,Gandaki Province,2079/80,4,Kartik,1080000000.0,2800000000.0,5040000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
77,Gandaki Province,2079/80,5,Mangsir,1800000000.0,3500000000.0,7840000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
78,Gandaki Province,2079/80,6,Poush,2640000000.0,4200000000.0,11200000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
79,Gandaki Province,2079/80,7,Magh,3600000000.0,5000000000.0,14560000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
80,Gandaki Province,2079/80,8,Falgun,4800000000.0,5800000000.0,17920000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
81,Gandaki Province,2079/80,9,Chaitra,6240000000.0,6600000000.0,21000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
82,Gandaki Province,2079/80,10,Baishakh,7800000000.0,7500000000.0,23800000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
83,Gandaki Province,2079/80,11,Jestha,9360000000.0,8500000000.0,26040000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
84,Gandaki Province,2079/80,12,Ashar,12000000000.0,10000000000.0,28000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
85,Gandaki Province,2080/81,1,Shrawan,57500000.0,550000000.0,610000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
86,Gandaki Province,2080/81,2,Bhadra,230000000.0,1320000000.0,1525000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
87,Gandaki Province,2080/81,3,Ashoj,575000000.0,2200000000.0,3050000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
88,Gandaki Province,2080/81,4,Kartik,1035000000.0,3080000000.0,5490000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
89,Gandaki Province,2080/81,5,Mangsir,1725000000.0,3850000000.0,8540000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
90,Gandaki Province,2080/81,6,Poush,2530000000.0,4620000000.0,12200000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
91,Gandaki Province,2080/81,7,Magh,3450000000.0,5500000000.0,15860000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
92,Gandaki Province,2080/81,8,Falgun,4600000000.0,6380000000.0,19520000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
93,Gandaki Province,2080/81,9,Chaitra,5980000000.0,7260000000.0,22875000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
94,Gandaki Province,2080/81,10,Baishakh,7475000000.0,8250000000.0,25925000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
95,Gandaki Province,2080/81,11,Jestha,8970000000.0,9350000000.0,28365000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
96,Gandaki Province,2080/81,12,Ashar,11500000000.0,11000000000.0,30500000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
97,Gandaki Province,2081/82,1,Shrawan,80000000.0,625000000.0,650000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
98,Gandaki Province,2081/82,2,Bhadra,320000000.0,1500000000.0,1625000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
99,Gandaki Province,2081/82,3,Ashoj,800000000.0,2500000000.0,3250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
100,Gandaki Province,2081/82,4,Kartik,1440000000.0,3500000000.0,5850000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
101,Gandaki Province,2081/82,5,Mangsir,2400000000.0,4375000000.0,9100000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
102,Gandaki Province,2081/82,6,Poush,3520000000.0,5250000000.0,13000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
103,Gandaki Province,2081/82,7,Magh,4800000000.0,6250000000.0,16900000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
104,Gandaki Province,2081/82,8,Falgun,6400000000.0,7250000000.0,20800000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
105,Gandaki Province,2081/82,9,Chaitra,8320000000.0,8250000000.0,24375000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
106,Gandaki Province,2081/82,10,Baishakh,10400000000.0,9375000000.0,27625000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
107,Gandaki Province,2081/82,11,Jestha,12480000000.0,10625000000.0,30225000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
108,Gandaki Province,2081/82,12,Ashar,16000000000.0,12500000000.0,32500000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
109,Gandaki Province,2082/83,1,Shrawan,88000000.0,630000000.0,720000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
110,Gandaki Province,2082/83,2,Bhadra,352000000.0,1512000000.0,1800000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
111,Gandaki Province,2082/83,3,Ashoj,880000000.0,2520000000.0,3600000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
112,Gandaki Province,2082/83,4,Kartik,1584000000.0,3528000000.0,6480000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
113,Gandaki Province,2082/83,5,Mangsir,0.0,0.0,10080000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
114,Gandaki Province,2082/83,6,Poush,0.0,0.0,14400000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
115,Gandaki Province,2082/83,7,Magh,0.0,0.0,18720000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
116,Gandaki Province,2082/83,8,Falgun,0.0,0.0,23040000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
117,Gandaki Province,2082/83,9,Chaitra,0.0,0.0,27000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
118,Gandaki Province,2082/83,10,Baishakh,0.0,0.0,30600000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
119,Gandaki Province,2082/83,11,Jestha,0.0,0.0,33480000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
120,Gandaki Province,2082/83,12,Ashar,0.0,0.0,36000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
