Local Level Name,Equalization,Conditional,Special,Complementary,Total Recurring,Total Capital,Grand Total
Bihadi Rural Mun.,7.37,22.43,2.25,0.96,28.75,4.26,33.01
Syangja District,110.77,337.81,16.29,10.94,415.11,60.70,475.81
Galyang Municipality,12.52,38.07,0.69,0.87,48.89,3.26,52.15
Chapakot Municipality,10.30,32.17,0.00,1.50,40.82,3.15,43.97
Putalibazar Municipality,13.93,58.11,2.07,0.90,52.94,22.07,75.01
Bhirkot Municipality,9.82,28.39,3.02,1.13,38.98,3.38,42.36
Waling Municipality,15.07,48.90,1.45,0.91,58.07,8.26,66.33
Arjun Chaupari Rural Mun.,7.93,20.39,0.75,1.05,27.11,3.01,30.12
Andhikhola Rural Mun.,8.17,22.14,2.61,0.86,31.36,2.42,33.78
Kaligandaki Rural Mun.,9.20,29.95,1.65,0.61,32.35,9.06,41.41
Phedikhola Rural Mun.,7.35,16.83,0.96,0.87,24.06,1.95,26.01
Biruwa Rural Mun.,8.46,23.40,1.29,1.22,31.90,2.47,34.37
Harinas Rural Mun.,8.02,19.46,1.80,1.02,28.63,1.67,30.30
Myagdi District,56.05,141.83,8.53,6.99,196.29,17.11,213.40
Beni Municipality,11.63,37.42,0.69,0.65,47.99,2.40,50.39
Annapurna Rural Mun.,9.32,21.82,4.43,0.90,31.06,5.41,36.47
Dhaulagiri Rural Mun.,9.10,19.65,0.69,1.40,28.42,2.42,30.84
Mangala Rural Mun.,7.89,20.37,0.69,2.24,28.26,2.93,31.19
Malika Rural Mun.,8.83,20.69,0.80,1.10,29.46,1.96,31.42
Raghuganga Rural Mun.,9.28,21.88,1.23,0.70,31.10,1.99,33.09
Baglung District,100.84,326.14,12.81,15.57,409.08,46.28,455.36
Galkot Municipality,11.51,39.05,1.36,1.50,49.40,4.02,53.42
Jaimini Municipality,11.10,43.41,1.30,0.97,52.47,4.31,56.78
Dhorpatan Municipality,10.67,28.09,1.90,0.87,38.56,2.97,41.53
Baglung Municipality,15.37,72.44,1.30,2.24,71.47,19.88,91.35
Kathekhola Rural Mun.,9.72,32.52,1.10,1.21,40.84,3.71,44.55
Tamankhola Rural Mun.,7.04,11.75,0.75,0.80,19.24,1.10,20.34
Tarakhola Rural Mun.,7.33,16.57,1.05,1.50,23.95,2.50,26.45
Nisikhola Rural Mun.,9.82,24.37,1.12,1.52,34.85,1.98,36.83
Badigad Rural Mun.,10.87,38.93,1.63,4.05,50.83,4.65,55.48
Bareng Rural Mun.,7.41,19.01,1.30,0.91,27.47,1.16,28.63
