,,,,,,,,,,,,,,,,,
,,,५५,बेरुजु,रकम,,,,,आय,,,,,व्यय,,
४६,सन्धिखर्क नगरपालिका,अर्घाखाँची,२०४८७९४,१०४५६७,०.४५१,५७३४२,५८०८३०,४०२७७,१३७८३५,०,२३४४७९,१०२८६०१,४९९८३४,२९७६८२,२३२४७७,१०२९९९३,४६१५०
४७,गाउँपालिका,अर्घाखीबी,१३६०५६६,२४१७,०.१८,५५१३७,५४५३००१,२०४७२,ब५५३९३,७३७१,१११५१,,३२४२२५,१३२४५४५,२२३४९७,६८०१७७,४३४८
४८,पाणिनी गाउँपालिका,अर्घाखाबी,१५४८९८२,४८२,०.०३,७२५११,४५४५७५४,२२७६०,१०४१०१,५५७४,१८०३९४,७७१४८३,४३०४५७,१५१५०५,१९५४३७,७७७३९९,६६६९५
४९,मालारानी गाउँपालिका,अर्घाखाबी,१४३१४४८०,४२२५,०.३,३२९९४,५७६४४९,२२९२८,९४८६९,९६२३,११३४५८,७१४३२७,३९२२५०,१४८४०५,१७४४७५,७१६१३०,३२१९२
५०,मुसिकोट नगरपालिका,गुल्मी,१७४७३२७,४३७६२,२.४,५०७७३,४९३८९४,२६७७४,१२१७६९,१२८०१,२२३३२३,८७८५६१,४१७१२४,१७३३८८,२७८२५५,६७६७,६०१६७
५१,रेसुह्ा नगरपालिका,गुल्मी,१५४३२३७,७४५२,०.४८,२०१५९,४४१३७१,इ३८५३९,१०९१०२,,१६४४८०,७७९९०४,४३००६०,१५३०९९,१८०१५३,७६३३३२,३६७३१
५२,इस्मा गाउँपालिका,गुल्मी,११३७१६९,४७६२,०.४२,,२८२७३८,२११४३,ब८२४३०,७६३७,१६९३४६,४६३२९४,२०३९४६,१२४८३९,१६५०८९,१७३७,७०२४९
५३,कालीगण्डकी गाउँपालिका,गुल्मी,१३२३४०२,१०६७०,०.८१,२३३०१,३५९५४५,२९३१५,९७२३५,६७१५,१७२३०६,६६४११६,३३२०२१,१२४९४०,२०१३२४,६४५८२८६,३०१३१
५४,गुल्मीदरवार गाउँपालिका,गुल्मी,११५४५५१४,९००१,०.७८,२७८२७,३२५१६३,२७७०,१४१८,९९१८,१३८५५७,४८२७६४,३०५४७३,१०२६१९,१६४६४८,४१७२७४०,३७८४१
५४५,चन्द्रकोट गाउँपालिका,गुल्मी,१२३१८११,१२३२७,१.,२१०४,३४५३०९,२२९४२,०७४५,९०५५,१५३६९९,६१८९५०,३३२०१९,०१०४,१९७७३७,६१२८६१,२७९४३
५६,गाउँपालिका,गुल्मी,१४०३९५४,०१६,०.०६,५३०६१,४०७२५६,२४१२७,५१३१०,१००४४५,१७०२१८,६९२९९६,३१२७४५,१७९४१४,२१०७९९,७१०९५७,३४१२०
५७,धुर्कोट गाउँपालिका,गुल्मी,१३८६७५१,०,०.,३७२९९,३९९९०३,१९७४१,८३६२२,७९९३,१८१४६४५,६९२७२४,३४०९१८,१४३८४४,२०९२६५,६९४०२७,३४९९६
५८,मदाने गाउँपालिका,गुल्मी,१२४०३३९,इ३०७,०.२७,९१३४५३,इइइ४इइ,र२४४५८०,८६७९,३७८०,१६०४३७,६०९०२५,३२०१९९,१४१७८ड,१६९३२७,६३१३१४,६९०६४
५९,मालिका गाउँपालिका,गुल्मी,१४९८३४५,११८७,०.०६,२६३७३,४१५३१३,र२१८९४,८१२४,१६३६,२२३७४९,७४१७१६,३४१०४७,१५७४४०,,७४६६२९,३१४६०
६०,रुरुक्षेत्र गाउँपालिका,'गुल्मी,१४४४९०७,८४२४,०.१८,६९३५१,४१७६४९,२४५७७,७३७९३,२०५१२,१७२२५४,७०८७८५,४५६८४८,२४०६९७,३८१७७,७३६१२२,४२०१४
६१,सत्यवती गाउँपालिका,गुल्मी,१३२१३०६,२८५२,०.२२,४९४०६,इ३७९४८९,र४्इडइ,ब९१९ड,१०६०,१६२३८९,६६४४१९,३५६८४१,११०६७१,१८९२७६,६४६७,४७१३७
६२,पुथा उत्तरगँगा गाउँपालिका,रुकुमपूर्व,१३७७६०४,६१०२४,४.४३,१९०३०,४१७९६१,२२९३९,१०४१७१,८२६४,१३९९४४,६९३२७९,३४१६८०,१६५६१७,१७७०२८,६८४३२५,२७९८४
