,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,| उ बारी,
"जिल्ला अस्पताल, हुम्ला",२०६१।५२,१,इइ२६८२,७६४,११००४,१०३४,पशरष,४४६०,१६७४३८,८३९३,,८४०४,मइ,१६४०४४,र४९४,१३४०
"प्रदेश खेलकुद परिषद्‌, सुर्खेत",२००१।४२,१,३०००००,६८५७,७२४७६,५५,प१२७९८,इच्प५,११७२६१,८४५६,र२७३९२,बु,६९९२२,१८२७१९,-६४४३८ड,छाइड
"कर्णाली प्रदेश प्रशिक्षण प्रतिष्ठान, सुखेत",२०७१।६२,१,४४६८,०,१०२४,०,२२७०१,६६,२२७६७,४८०७,१७९४,०,०,२२७०१,६६,०९०
सुदूरपश्चिम,,१,५६३८९१०,४९०२६,१२४५४५८८,६८०९२३,१६७०४४४,५०२३०७,२८४५३७७४,९०४३९५,११११६४१,३०७४२१,४६०६७९,२७८५१३६,६६३८,१९४२२६
"प्रशासनिक प्रशिक्षण तालीम केन्द्र,डोटी",२०८१।८२,१,५१५९,३७,०,०,२४१५५,३५१५,र२७९७०,०,९१४०,२०१५,३०६४,२७२१९,७५१,७५१
"प्रादिशिक सुशासन केन्द्र, डोटी",२०७३।६२,१,१६२७३६,१४३४,२२,०,,,,०,,१११०,,५३६८,,२२
"रामारोशन क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति, अछाम",२०६१।८२,१,५४५८,०,०,०,२७२९,०,२७२९,०,१५८९,११४०.,०,२७२९,०,०
"धाम पर्यटन विकास तथा व्यवस्थापन समिति, अछाम",२०७१।५८२,१,७४६१,,१०२,०,,५७,३७७२,१९७९,१७०६,०,४,इइ५९,,१च५
"'बडीकेदार क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति, डोटी",२०६१।२,१,५१३६,०,०,०,२१२८,४४०,२५६८,०,१२४६,२५१०,५१२,२५६८,०,०
"'खपतड क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति, डोटी",२०८१।८२,१,६५७०,०,१६२,०,३२०७,दद,३३९३,३०६१,१४६,१४४,६,३३५७,११,१८
"सुदूरपश्चिम प्रज्ञा प्रतिष्ठान, धनगढी",२०६१।६२,१,२५७२०,०,०,०,१२८६०,०,१२८६०,१२८६०,०,०,०,१२६६०,०,०
"महाकाली अस्पताल, कपुर",२०७३।६४२,१,५६००३२,२०६०,१७४७६,१४४१३९,२७९०६३,७१०३,४३१३३३,२७९०९१,१४७७४९,०,१७४९,४२८६९९,र६३४,०३०
"टिकापुर अस्पताल, कैलाली",२००१।६५२,१,ब४२९३,२७७१,१४४६,२१०९६४,२०९४,,,२१६६०७,२१०९४४,०,१३१६,,-३४४३,२०२४
"जिल्ला अस्पताल, बैतडी",२०६१।६२,१,२०८५२५७,ब्र,१६९०,१९१७४,११५०६ड,१२१३६,१४६४०१,६६७ङ,७६१५,५२८३,७३७,१३८८५६,७५४५,९२३५
"जिल्ला अस्पताल, बाजुरा",२०७३।६४२,१,२४७९१५,२१,७२१९,२४७६१,द९४६२५,७४७,ब२२१६३,इ९७१७,र४६१,८६२७,१३,१२४७६२,,३६३०
"जिल्ला अस्पताल, बझाङ",२०६१।६२,१,२९७४०६,०,४०६२,०,१०४६६०,४इ२४२,१४८१२२,१०४८८०,४३९७९,०,४२५,१४९२८४,-११६२,२९३०
"जिल्ला अस्पताल, दार्चुला",२०८१।८२,१,२२५१३१,इ३४४२७,३४०३,३२०९६१,७९३९२,०,१११४८३,०,१०२९६१६,१०७३०,,११३६४८,-२१६४,१३३८
